"GPA","High School Math","High School Science","High School English","SAT Math","SAT Verbal","Gender"
3.32,10,10,10,670,600,1
2.26,6,8,5,700,640,1
2.35,8,6,8,640,530,1
2.08,9,10,7,670,600,1
3.38,8,9,8,540,580,1
3.29,10,8,8,760,630,1
3.21,8,8,7,600,400,1
2,3,7,6,460,530,1
3.18,9,10,8,670,450,1
2.34,7,7,6,570,480,1
3.08,9,10,6,491,488,1
3.34,5,9,7,600,600,1
1.4,6,8,8,510,530,1
1.43,10,9,9,750,610,1
2.48,8,9,6,650,460,1
3.73,10,10,9,720,630,1
3.8,10,10,9,760,500,1
4,9,9,8,800,610,1
2,9,6,5,640,670,1
3.74,9,10,9,750,700,1
2.32,9,7,8,520,440,1
2.79,8,8,7,610,530,1
3.21,7,9,8,505,435,1
3.08,9,10,8,559,607,1
3.75,10,9,9,760,620,1
3.16,10,9,8,640,490,1
2.73,9,8,7,520,360,1
3.06,8,10,10,580,460,1
1.07,7,8,6,700,520,1
3.35,10,10,10,620,570,1
1.82,6,8,6,490,550,1
3.12,10,10,7,640,520,1
2.25,9,7,4,550,290,1
2.93,10,10,10,600,520,1
3.16,9,7,7,400,390,1
2.83,10,9,9,710,530,1
3.1,9,10,9,750,670,1
3.07,7,4,7,660,480,1
2.87,9,9,9,620,480,1
3.61,10,10,9,630,440,1
2.17,10,7,7,650,450,1
1.95,7,8,9,550,570,1
3.35,10,10,10,730,650,1
3.58,10,7,8,710,400,1
2.75,10,7,5,770,720,1
3.26,10,10,9,610,560,1
3.41,9,4,7,600,360,1
3.67,10,10,10,640,570,1
3.81,10,10,7,750,540,1
3.3,10,10,9,650,480,1
2.3,9,10,10,590,420,1
3.62,10,10,8,660,630,1
3.2,9,5,7,570,570,1
2.55,7,8,8,570,480,1
2.82,10,9,9,660,550,1
3.25,9,7,8,690,550,1
2.21,7,7,8,670,500,1
2.5,10,9,9,660,460,1
3.03,8,8,7,600,630,1
1.92,9,10,8,447,320,1
4,7,6,6,600,410,1
1.81,9,9,9,620,580,1
2.7,6,8,6,580,470,1
2.96,9,7,8,630,630,1
2.76,10,10,10,600,560,1
2.71,8,7,9,700,440,1
3.4,9,10,9,550,560,1
2.65,8,10,8,680,450,1
2.48,8,8,7,630,500,1
3.86,10,10,10,750,760,1
2.62,9,8,7,491,391,1
3.72,7,8,7,550,500,1
3.5,8,7,8,630,500,1
2.83,6,7,7,690,440,1
3.06,8,6,5,540,400,1
