subject,condition,signal_present,correct,rt,trial_num
2,bias,0,1,4.076,1
2,bias,0,0,1.167,2
2,bias,1,1,0.598,3
2,bias,1,1,0.375,4
2,bias,0,1,0.454,5
2,bias,1,1,0.4100000000002328,6
2,bias,1,1,0.3700000000002327,7
2,bias,1,1,0.559,8
2,bias,1,1,0.3250000000002328,9
2,bias,1,1,0.313,10
2,bias,0,1,0.27999999999976716,11
2,bias,0,1,0.353,12
2,bias,0,1,0.55,13
2,bias,1,0,0.9460000000002328,14
2,bias,1,1,0.73,15
2,bias,1,1,0.331,16
2,bias,1,1,0.353,17
2,bias,0,1,0.981,18
2,bias,0,1,0.502,19
2,bias,0,1,0.582,20
2,bias,0,1,0.313,21
2,bias,0,1,0.339,22
2,bias,0,1,0.407,23
2,bias,1,1,0.3760000000002328,24
2,no_bias,0,1,0.862,1
2,no_bias,1,1,0.419,2
2,no_bias,1,1,0.546,3
2,no_bias,0,1,0.34,4
2,no_bias,1,0,0.596,5
2,no_bias,0,1,0.344,6
2,no_bias,0,1,0.315,7
2,no_bias,1,1,0.321,8
2,no_bias,1,1,0.335,9
2,no_bias,0,1,0.337,10
2,no_bias,1,1,0.376,11
2,no_bias,0,1,1.4539999999997673,12
2,no_bias,1,1,0.332,13
2,no_bias,1,1,0.375,14
2,no_bias,1,1,0.581,15
2,no_bias,1,1,0.5989999999997672,16
2,no_bias,0,0,0.894,17
2,no_bias,0,1,0.9480000000002328,18
2,no_bias,0,1,0.688,19
2,no_bias,1,0,2.277,20
2,no_bias,0,1,0.4479999999997673,21
2,no_bias,0,1,0.33199999999976715,22
2,no_bias,1,1,0.266,23
2,no_bias,0,0,0.556,24
2,bias,0,1,1.759,25
2,bias,1,1,0.35200000000023285,26
2,bias,0,1,0.732,27
2,bias,1,0,1.867,28
2,bias,1,1,0.35399999999976717,29
2,bias,1,1,0.322,30
2,bias,0,1,0.3699999999997672,31
2,bias,1,1,1.129,32
2,bias,0,1,0.352,33
2,bias,0,1,0.446,34
2,bias,0,1,0.4330000000002327,35
2,bias,0,1,0.8610000000002328,36
2,bias,1,1,0.154,37
2,bias,0,1,1.06,38
2,bias,1,1,0.387,39
2,bias,0,1,0.615,40
2,bias,1,1,0.035,41
2,bias,0,1,0.297,42
2,bias,0,1,0.761,43
2,bias,0,1,0.347,44
2,bias,1,1,0.35800000000023285,45
2,bias,1,1,1.0400000000002327,46
2,bias,1,1,0.632,47
2,bias,1,1,0.258,48
2,bias,1,0,2.975,49
2,bias,0,1,6.924,50
2,bias,0,1,0.085,51
2,bias,0,1,0.372,52
2,bias,0,1,0.372,53
2,bias,0,1,0.428,54
2,bias,1,1,0.4079999999997672,55
2,bias,1,1,1.446,56
2,bias,1,1,0.407,57
2,bias,1,1,0.462,58
2,bias,0,1,3.349,59
2,bias,0,1,2.231625,60
2,bias,1,1,0.4310000000002327,61
2,bias,1,1,0.3660000000002327,62
2,bias,1,0,0.393,63
2,bias,1,0,1.103,64
2,bias,1,1,0.496,65
2,bias,1,0,0.846,66
2,bias,0,1,0.946,67
2,bias,0,1,0.403,68
2,bias,0,1,0.321,69
2,bias,0,1,0.033,70
2,bias,0,1,0.307,71
2,bias,1,1,0.3989999999997672,72
2,no_bias,0,1,0.828,25
2,no_bias,0,1,0.7510000000002328,26
2,no_bias,1,0,0.8609999999997672,27
2,no_bias,0,1,0.55,28
2,no_bias,1,1,0.52,29
2,no_bias,1,0,0.4920000000002327,30
2,no_bias,0,1,0.347,31
2,no_bias,0,0,0.5740000000002329,32
2,no_bias,0,1,0.524,33
2,no_bias,0,1,0.471,34
2,no_bias,1,0,0.5539999999997671,35
2,no_bias,0,1,0.5299999999997672,36
2,no_bias,0,1,0.5429999999997672,37
2,no_bias,1,1,1.764,38
2,no_bias,1,0,0.382,39
2,no_bias,1,0,0.409,40
2,no_bias,1,0,0.619,41
2,no_bias,1,0,0.444,42
2,no_bias,0,1,0.26800000000023283,43
2,no_bias,1,0,0.343,44
2,no_bias,0,1,0.458,45
2,no_bias,0,1,0.33899999999976715,46
2,no_bias,1,1,0.106,47
2,no_bias,1,0,0.3130000000002328,48
2,bias,1,0,0.6230000000002328,73
2,bias,0,1,5.093,74
2,bias,1,0,0.7940000000002329,75
2,bias,1,0,0.413,76
2,bias,1,1,0.844,77
2,bias,0,1,0.3650000000002327,78
2,bias,1,0,0.348,79
2,bias,1,1,0.433,80
2,bias,0,1,0.423,81
2,bias,0,1,0.396,82
2,bias,1,0,0.538,83
2,bias,0,1,0.783,84
2,bias,1,0,1.5458749999999708,85
2,bias,0,1,1.785,86
2,bias,1,0,0.7779999999997672,87
2,bias,0,1,0.845,88
2,bias,0,1,1.122,89
2,bias,0,1,1.943,90
2,bias,1,1,0.878,91
2,bias,1,0,0.7929999999997672,92
2,bias,0,1,0.8439999999997672,93
2,bias,0,1,6.587,94
2,bias,1,0,0.725,95
2,bias,0,1,0.356,96
2,no_bias,0,1,1.399,49
2,no_bias,0,1,0.902,50
2,no_bias,1,0,0.372,51
2,no_bias,0,1,0.913,52
2,no_bias,1,0,0.7169999999997672,53
2,no_bias,1,1,0.36200000000023275,54
2,no_bias,1,0,0.607,55
2,no_bias,1,0,0.291,56
2,no_bias,0,1,0.359,57
2,no_bias,0,1,0.6880000000002329,58
2,no_bias,1,0,0.681,59
2,no_bias,0,1,0.6569999999997672,60
2,no_bias,1,1,0.5849999999997672,61
2,no_bias,0,1,0.704,62
2,no_bias,1,1,0.364,63
2,no_bias,0,1,0.392,64
2,no_bias,1,1,0.345,65
2,no_bias,1,0,0.101,66
2,no_bias,0,1,0.376,67
2,no_bias,1,0,0.38,68
2,no_bias,0,1,0.317,69
2,no_bias,1,0,0.432,70
2,no_bias,0,1,0.3919999999997672,71
2,no_bias,0,1,0.348,72
2,bias,1,0,1.07,97
2,bias,1,0,0.3660000000002327,98
2,bias,1,0,0.401,99
2,bias,1,0,0.339,100
2,bias,0,1,0.326,101
2,bias,1,0,0.243,102
2,bias,0,1,0.272,103
2,bias,0,1,0.34700000000023284,104
2,bias,0,1,0.3019999999997672,105
2,bias,1,0,0.316,106
2,bias,1,0,0.687,107
2,bias,0,0,0.902,108
2,bias,0,1,0.396,109
2,bias,1,0,0.435,110
2,bias,0,1,0.409,111
2,bias,1,0,0.35,112
2,bias,0,1,0.364,113
2,bias,0,1,0.636,114
2,bias,1,1,0.5170000000004656,115
2,bias,0,1,0.3220000000002328,116
2,bias,0,1,0.8610000000004656,117
2,bias,0,0,0.5269999999995343,118
2,bias,1,0,0.538,119
2,bias,1,0,1.619000000000233,120
2,no_bias,1,0,0.3209999999997672,73
2,no_bias,1,1,0.5550000000002329,74
2,no_bias,0,1,0.27599999999976715,75
2,no_bias,0,0,0.379,76
2,no_bias,0,1,0.28100000000046566,77
2,no_bias,1,0,0.345,78
2,no_bias,0,1,0.415,79
2,no_bias,1,1,0.257,80
2,no_bias,0,1,0.655,81
2,no_bias,0,1,0.395,82
2,no_bias,0,1,0.374,83
2,no_bias,1,0,0.605,84
2,no_bias,0,1,0.321,85
2,no_bias,1,1,0.528,86
2,no_bias,1,1,0.319,87
2,no_bias,0,1,0.68,88
2,no_bias,1,1,0.439,89
2,no_bias,0,1,0.843,90
2,no_bias,0,1,0.604,91
2,no_bias,1,1,0.514,92
2,no_bias,1,0,0.317,93
2,no_bias,1,0,0.808,94
2,no_bias,0,1,0.456,95
2,no_bias,1,1,0.243,96
2,no_bias,0,1,3.481,97
2,no_bias,1,1,0.29900000000046567,98
2,no_bias,1,0,1.111,99
2,no_bias,1,1,1.224,100
2,no_bias,0,1,0.998,101
2,no_bias,0,1,0.38,102
2,no_bias,1,0,0.712,103
2,no_bias,1,0,0.392,104
2,no_bias,0,1,0.352,105
2,no_bias,1,0,0.48,106
2,no_bias,1,1,0.601,107
2,no_bias,0,1,0.319,108
2,no_bias,1,1,0.275,109
2,no_bias,0,1,0.33400000000046565,110
2,no_bias,0,1,0.207,111
2,no_bias,1,1,0.337,112
2,no_bias,0,1,0.67,113
2,no_bias,0,1,0.617,114
2,no_bias,1,1,1.19,115
2,no_bias,0,1,0.529,116
2,no_bias,1,1,0.342,117
2,no_bias,0,0,1.035,118
2,no_bias,1,1,0.33099999999953433,119
2,no_bias,0,1,0.495,120
2,no_bias,1,1,0.765,121
2,no_bias,1,1,0.399,122
2,no_bias,0,1,0.34,123
2,no_bias,1,1,0.3189999999995343,124
2,no_bias,1,1,0.19,125
2,no_bias,1,1,0.314,126
2,no_bias,1,1,0.167,127
2,no_bias,0,1,0.462,128
2,no_bias,0,1,0.587,129
2,no_bias,0,0,0.55,130
2,no_bias,0,1,0.308,131
2,no_bias,0,1,0.164,132
2,no_bias,0,1,0.599,133
2,no_bias,1,1,0.687,134
2,no_bias,1,1,0.35599999999953436,135
2,no_bias,0,1,0.408,136
2,no_bias,0,1,1.1820000000004656,137
2,no_bias,0,1,0.33999999999953434,138
2,no_bias,1,1,0.27,139
2,no_bias,0,1,0.6959999999995343,140
2,no_bias,1,1,0.339,141
2,no_bias,0,1,0.3,142
2,no_bias,1,1,0.318,143
2,no_bias,1,1,0.367,144
2,bias,0,1,5.094,121
2,bias,1,1,0.395,122
2,bias,1,1,0.333,123
2,bias,0,1,0.542,124
2,bias,1,1,0.182,125
2,bias,1,0,0.21900000000046568,126
2,bias,1,1,0.38899999999953433,127
2,bias,1,1,0.46,128
2,bias,0,1,0.389,129
2,bias,0,1,0.645,130
2,bias,0,1,1.029,131
2,bias,0,1,0.324,132
2,bias,0,1,0.364,133
2,bias,1,0,0.708,134
2,bias,0,1,0.652,135
2,bias,1,1,0.46,136
2,bias,0,1,1.108,137
2,bias,1,1,0.077,138
2,bias,1,1,0.392,139
2,bias,0,1,0.36,140
2,bias,1,1,0.11599999999953434,141
2,bias,0,1,0.497,142
2,bias,0,1,0.585,143
2,bias,1,0,1.652,144
3,no_bias,0,1,2.5975,1
3,no_bias,1,0,0.7397999999523163,2
3,no_bias,1,0,0.2945,3
3,no_bias,1,0,0.09580000007152556,4
3,no_bias,0,1,0.5617999999523163,5
3,no_bias,0,1,0.46039999997615816,6
3,no_bias,0,1,0.3121999999284744,7
3,no_bias,0,1,0.48779999995231627,8
3,no_bias,0,1,0.3437000000476837,9
3,no_bias,1,0,0.35110000002384184,10
3,no_bias,0,1,0.5568999999761581,11
3,no_bias,0,1,0.8546999999284745,12
3,no_bias,1,1,0.8577000000476838,13
3,no_bias,0,0,1.8952000000476832,14
3,no_bias,0,1,0.4893000000715256,15
3,no_bias,0,1,0.3246000000238419,16
3,no_bias,1,1,0.6749000000953674,17
3,no_bias,1,1,0.7103000000715256,18
3,no_bias,0,1,1.5028000000715256,19
3,no_bias,1,1,0.3452999999523163,20
3,no_bias,1,1,0.13379999995231628,21
3,no_bias,1,1,0.3298000000715256,22
3,no_bias,1,1,0.5193999999761582,23
3,no_bias,1,1,0.5174000000953675,24
3,no_bias,0,1,2.5807999999523163,25
3,no_bias,0,1,0.5635,26
3,no_bias,0,1,0.3876000000238419,27
3,no_bias,1,0,0.4048000000715256,28
3,no_bias,0,1,0.6883000000715256,29
3,no_bias,0,1,0.48860000002384185,30
3,no_bias,1,1,1.2647000000476836,31
3,no_bias,1,1,0.7452000000476837,32
3,no_bias,1,1,0.930100000023842,33
3,no_bias,1,1,0.5259000000953674,34
3,no_bias,1,1,0.5306000000238419,35
3,no_bias,0,0,0.9477000000476836,36
3,no_bias,1,1,0.41160000002384184,37
3,no_bias,0,1,0.5512000000476838,38
3,no_bias,1,1,0.4133999999761581,39
3,no_bias,0,1,0.6285,40
3,no_bias,1,1,0.453,41
3,no_bias,0,1,0.6138999999761582,42
3,no_bias,1,1,1.2026999999284744,43
3,no_bias,0,1,1.1392000000476834,44
3,no_bias,1,1,0.20969999992847443,45
3,no_bias,0,1,0.3495,46
3,no_bias,1,1,0.29810000002384185,47
3,no_bias,0,1,0.5707999999523163,48
3,no_bias,0,0,4.01173749999702,49
3,no_bias,1,1,1.2262000000476836,50
3,no_bias,1,1,0.7173999999761581,51
3,no_bias,1,1,1.0195,52
3,no_bias,1,1,0.9087000000476836,53
3,no_bias,0,1,1.1968999999761578,54
3,no_bias,1,1,6.517600000023842,55
3,no_bias,1,1,0.4265,56
3,no_bias,1,1,4.622699999928474,57
3,no_bias,0,1,0.629,58
3,no_bias,0,1,0.6456999999284744,59
3,no_bias,0,1,3.100899999976158,60
3,no_bias,1,1,0.8482999999523163,61
3,no_bias,1,1,1.3967999999523164,62
3,no_bias,1,0,2.4002999999523165,63
3,no_bias,1,0,0.7715,64
3,no_bias,0,0,4.230399999976158,65
3,no_bias,0,1,0.6171000000238419,66
3,no_bias,0,1,0.7497999999523163,67
3,no_bias,1,0,2.714099999904633,68
3,no_bias,0,1,0.8492000000476837,69
3,no_bias,0,0,8.630100000023841,70
3,no_bias,0,1,2.9027999999523164,71
3,bias,0,0,2.1293000000715256,1
3,bias,0,1,1.8305,2
3,bias,1,1,6.297699999928475,3
3,bias,1,1,1.8665999999046328,4
3,bias,1,1,0.456,5
3,bias,0,0,0.8318999999761582,6
3,bias,0,0,1.0972000000476836,7
3,bias,0,1,1.1363999999761578,8
3,bias,0,1,1.3071999999284745,9
3,bias,1,1,1.088100000023842,10
3,bias,1,1,0.45639999997615815,11
3,bias,1,1,0.32440000009536746,12
3,bias,1,1,0.2617999999523163,13
3,bias,1,1,0.276,14
3,bias,0,1,0.795,15
3,bias,1,1,0.4331999999284744,16
3,bias,1,1,0.382,17
3,bias,0,0,0.4238999999761581,18
3,bias,0,1,0.5866000000238418,19
3,bias,0,1,0.395,20
3,bias,1,1,0.29260000002384184,21
3,bias,1,1,0.27220000004768374,22
3,bias,0,1,0.4355,23
3,bias,0,1,0.3454000000953674,24
3,bias,1,0,2.276600000023842,25
3,bias,1,0,0.6808999999761581,26
3,bias,0,1,1.5373999999761578,27
3,bias,1,1,0.917899999976158,28
3,bias,1,1,0.549,29
3,bias,0,0,1.53804999999702,30
3,bias,0,1,1.193,31
3,bias,1,1,0.6498999999761581,32
3,bias,1,0,1.407399999976158,33
3,bias,0,0,0.4427999999523163,34
3,bias,0,1,1.9543000000715256,35
3,bias,0,1,0.6225,36
3,bias,1,0,0.999399999976158,37
3,bias,0,1,0.609,38
3,bias,1,0,2.472,39
3,bias,0,1,0.7251000000238419,40
3,bias,1,1,0.39620000004768374,41
3,bias,0,1,0.9834000000953674,42
3,bias,1,1,0.23860000002384185,43
3,bias,0,0,0.35880000007152557,44
3,bias,1,1,2.583024999991059,45
3,bias,0,1,0.980600000023842,46
3,bias,1,0,0.904399999976158,47
3,bias,0,1,1.5637000000476835,48
3,no_bias,1,1,3.979900000095367,72
3,no_bias,0,0,0.2025,73
3,no_bias,0,0,0.29510000002384185,74
3,no_bias,1,1,0.4456000000238418,75
3,no_bias,1,1,0.17480000007152555,76
3,no_bias,0,0,1.6184624999910593,77
3,no_bias,1,1,0.9132000000476836,78
3,no_bias,0,0,2.7611875,79
3,no_bias,1,1,1.9686999999284744,80
3,no_bias,0,1,6.256600000023842,81
3,no_bias,0,1,0.3762000000476837,82
3,no_bias,0,1,0.41929999995231626,83
3,no_bias,1,1,0.2747999999523163,84
3,no_bias,1,1,0.639,85
3,no_bias,0,1,0.7805,86
3,no_bias,1,1,0.636,87
3,no_bias,1,0,7.2061000000238415,88
3,no_bias,1,1,0.3246000000238419,89
3,no_bias,0,0,6.524,90
3,no_bias,0,1,0.5951999999284744,91
3,no_bias,0,0,0.5245,92
3,no_bias,1,1,0.07209999990463258,93
3,no_bias,1,1,0.5013999999761581,94
3,no_bias,0,1,0.4642000000476837,95
3,bias,0,1,1.771899999976158,49
3,bias,0,1,0.8961000000238418,50
3,bias,1,1,5.759199999928475,51
3,bias,1,1,0.5806000000238418,52
3,bias,1,1,0.4947000000476837,53
3,bias,0,0,0.35780000007152557,54
3,bias,1,1,1.0896000000238422,55
3,bias,0,1,0.524,56
3,bias,1,0,0.7847999999523163,57
3,bias,0,0,0.7673999999761582,58
3,bias,1,1,6.635099999994041,59
3,bias,0,0,0.3832000000476838,60
3,bias,0,0,7.992,61
3,bias,0,0,0.7407999999523163,62
3,bias,1,1,0.2582999999523163,63
3,bias,1,1,2.592399999976158,64
3,bias,0,0,2.6715,65
3,bias,1,1,1.777,66
3,bias,0,1,0.31110000002384186,67
3,bias,1,1,0.6428999999761581,68
3,bias,0,1,0.7717999999523163,69
3,bias,0,1,0.4306999999284744,70
3,bias,1,1,0.7428999999761582,71
3,bias,1,1,0.4428000000715256,72
3,no_bias,0,0,8.361399999976157,96
3,no_bias,1,1,0.5682000000476837,97
3,no_bias,1,1,0.2863999999761581,98
3,no_bias,1,1,0.41110000002384184,99
3,no_bias,1,1,0.7457999999523163,100
3,no_bias,1,1,0.29510000002384185,101
3,no_bias,0,1,1.13,102
3,no_bias,0,0,0.43389999997615813,103
3,no_bias,0,0,0.3875,104
3,no_bias,1,0,3.8118999999761582,105
3,no_bias,0,1,1.381899999976158,106
3,no_bias,1,1,0.5382999999523163,107
3,no_bias,1,0,0.8226000000238418,108
3,no_bias,0,0,0.3687000000476837,109
3,no_bias,1,0,0.6830999999046325,110
3,no_bias,0,1,0.488,111
3,no_bias,0,1,1.2462000000476834,112
3,no_bias,1,0,0.5133000000715255,113
3,no_bias,0,0,0.37759999990463256,114
3,no_bias,0,1,0.40260000002384183,115
3,no_bias,0,1,0.39339999997615815,116
3,no_bias,0,1,0.55,117
3,no_bias,1,1,0.4417000000476837,118
3,no_bias,1,1,0.383,119
3,bias,1,0,0.9461999999284744,73
3,bias,0,1,1.7653000000715255,74
3,bias,1,1,0.935100000023842,75
3,bias,0,1,3.714100000023842,76
3,bias,1,1,0.7322999999523163,77
3,bias,0,1,0.4205999999046326,78
3,bias,1,1,0.3527000000476837,79
3,bias,0,0,1.1401000000238422,80
3,bias,0,1,2.699600000023842,81
3,bias,1,1,0.6835,82
3,bias,1,0,0.8202999999523163,83
3,bias,1,1,0.34530000007152556,84
3,bias,1,1,0.32539999997615815,85
3,bias,1,1,7.4045,86
3,bias,0,1,1.565100000023842,87
3,bias,0,0,7.366,88
3,bias,0,1,1.317600000023842,89
3,bias,0,1,0.4268999999761582,90
3,bias,0,1,0.2961999999284744,91
3,bias,0,1,0.34489999997615817,92
3,bias,0,1,0.33889999997615816,93
3,bias,1,1,0.4183000000715256,94
3,bias,1,1,1.6678000000715256,95
3,bias,0,1,2.4038000000715254,96
3,bias,0,0,1.3385999999940394,97
3,bias,1,1,1.235100000023842,98
3,bias,0,0,0.46560000002384183,99
3,bias,1,1,0.176,100
3,bias,0,1,1.5148000000715256,101
3,bias,1,1,0.08810000002384186,102
3,bias,0,0,1.8815,103
3,bias,1,1,0.21390000009536744,104
3,bias,1,1,1.1875,105
3,bias,0,1,0.3775,106
3,bias,0,1,0.6638999999761581,107
3,bias,0,1,0.2942000000476837,108
3,bias,0,1,0.6572000000476838,109
3,bias,1,1,0.2535,110
3,bias,0,1,0.9342999999523164,111
3,bias,1,0,1.1175,112
3,bias,0,1,1.9603000000715256,113
3,bias,1,1,1.9005,114
3,bias,1,0,2.906600000023842,115
3,bias,1,1,0.6723999999761582,116
3,bias,0,0,2.959700000047684,117
3,bias,1,1,0.9727999999523164,118
3,bias,0,1,5.929,119
3,bias,1,1,0.8697999999523163,120
3,bias,1,1,0.3668999999761582,121
3,bias,0,1,0.7237000000476838,122
3,bias,1,1,0.584,123
3,bias,0,0,0.3291000000238419,124
3,bias,1,1,1.9745,125
3,bias,1,0,0.09829999995231628,126
3,bias,0,0,0.4545,127
3,bias,1,1,0.36560000002384185,128
3,bias,1,1,0.18010000002384186,129
3,bias,0,0,0.07370000004768372,130
3,bias,1,1,0.23860000002384185,131
3,bias,1,1,2.407,132
3,bias,1,1,2.355900000095367,133
3,bias,0,0,1.5577999999523164,134
3,bias,1,1,0.5190999999046325,135
3,bias,0,1,1.933,136
3,bias,0,0,0.4947000000476837,137
3,bias,0,1,0.32489999997615815,138
3,bias,1,1,0.5756000000238418,139
3,bias,0,0,0.43739999997615814,140
3,bias,0,1,2.564399999976158,141
3,bias,0,1,2.822400000095367,142
3,no_bias,1,1,7.794899999976158,120
3,no_bias,1,1,1.0217999999523164,121
3,no_bias,1,0,3.346700000047684,122
3,no_bias,1,1,1.0064000000953677,123
3,no_bias,0,0,1.4333374999910593,124
3,no_bias,0,1,1.025,125
3,no_bias,1,1,1.0182999999523163,126
3,no_bias,1,0,0.6906000000238418,127
3,no_bias,0,0,0.3173000000715256,128
3,no_bias,1,1,0.12469999992847444,129
3,no_bias,0,0,0.8918999999761581,130
3,no_bias,0,0,0.3562000000476837,131
3,no_bias,1,1,0.29929999995231626,132
3,no_bias,0,0,0.345,133
3,no_bias,0,1,0.4782000000476837,134
3,no_bias,1,1,0.36210000002384185,135
3,no_bias,1,0,0.7825,136
3,no_bias,0,0,0.3888000000715256,137
3,no_bias,0,0,0.7372999999523163,138
3,no_bias,0,0,0.6212000000476837,139
3,no_bias,1,1,0.8423999999761581,140
3,no_bias,0,0,0.48279999995231626,141
3,no_bias,0,0,0.5066000000238419,142
3,no_bias,1,1,0.34930000007152556,143
6,no_bias,1,1,8.853764999992446,1
6,no_bias,1,1,2.722339999992866,2
6,no_bias,1,1,2.5355750000015833,3
6,no_bias,1,1,2.677029999991646,4
6,no_bias,1,1,2.723570000001928,5
6,no_bias,0,1,2.502590000003809,6
6,no_bias,0,1,2.529300000009127,7
6,no_bias,0,1,2.3840500000079627,8
6,no_bias,1,1,2.4511300000012852,9
6,no_bias,0,1,2.6174450000107754,10
6,no_bias,0,1,2.1005799999984447,11
6,no_bias,0,1,2.417574999999488,12
6,no_bias,1,1,2.5126100000052247,13
6,no_bias,0,1,1.7395050000050103,14
6,no_bias,0,1,2.1160950000048615,15
6,no_bias,0,1,2.456269999995129,16
6,no_bias,1,0,3.102735000007786,17
6,no_bias,0,1,1.0383500000024215,18
6,no_bias,1,1,2.6020100000023376,19
6,no_bias,1,1,0.343974999996135,20
6,no_bias,0,1,1.2937499999969733,21
6,no_bias,1,0,2.3131949999951757,22
6,no_bias,1,1,1.0500050000119954,23
6,no_bias,0,1,0.8886999999959954,24
6,bias,1,0,5.468159999989439,1
6,bias,1,1,1.307889999996405,2
6,bias,1,1,1.754914999997709,3
6,bias,1,1,0.923804999998305,4
6,bias,0,1,0.9027849999982864,5
6,bias,0,1,1.323344999996945,6
6,bias,1,1,1.1342599999918603,7
6,bias,0,1,0.8725399999967777,8
6,bias,0,1,1.415724999999162,9
6,bias,1,1,0.8136700000031851,10
6,bias,1,1,0.7213250000057742,11
6,bias,1,1,0.8427300000037067,12
6,bias,0,1,2.3455400000093505,13
6,bias,1,1,7.697740000003018,14
6,bias,0,1,2.665964999992866,15
6,bias,0,1,0.8992949999957346,16
6,bias,1,1,0.7460250000003725,17
6,bias,0,1,1.2650449999929405,18
6,bias,1,1,1.24487499998929,19
6,bias,0,1,0.8526399999973364,20
6,bias,0,1,0.6546300000045449,21
6,bias,1,1,0.9084799999985844,22
6,bias,0,1,0.8603000000002794,23
6,bias,0,1,0.9596000000019558,24
6,no_bias,1,0,3.892275000005495,25
6,no_bias,0,1,0.6548349999939092,26
6,no_bias,1,1,0.842894999993965,27
6,no_bias,1,1,0.3790749999894761,28
6,no_bias,0,1,0.6945850000046193,29
6,no_bias,1,1,0.5824850000063889,30
6,no_bias,1,1,0.15667499999096618,31
6,no_bias,1,0,0.8280550000052899,32
6,no_bias,0,1,0.8446399999954738,33
6,no_bias,0,1,0.7156499999980442,34
6,no_bias,0,1,0.7492849999982863,35
6,no_bias,1,1,0.6191699999906123,36
6,no_bias,0,1,0.917000000001397,37
6,no_bias,0,1,1.0150750000029802,38
6,no_bias,1,1,0.6680599999963306,39
6,no_bias,0,1,0.6905200000037439,40
6,no_bias,1,1,0.5839500000001863,41
6,no_bias,0,1,2.6543149999924935,42
6,no_bias,1,1,0.6559649999979883,43
6,no_bias,1,1,0.5417299999971874,44
6,no_bias,0,1,0.7731550000025891,45
6,no_bias,1,1,0.3854150000116788,46
6,no_bias,0,1,2.749739999999292,47
6,no_bias,0,1,1.5389500000020488,48
6,bias,0,1,4.295425000003539,25
6,bias,0,1,1.8860349999889732,26
6,bias,1,1,1.4535550000001676,27
6,bias,1,1,0.9064599999985656,28
6,bias,0,1,0.6640050000133925,29
6,bias,1,1,0.9227799999937416,30
6,bias,1,1,0.6713949999976904,31
6,bias,1,1,0.6730549999917858,32
6,bias,0,1,0.6152150000128895,33
6,bias,0,1,0.9622999999988824,34
6,bias,1,1,0.6723999999957159,35
6,bias,0,1,0.6898650000076741,36
6,bias,0,1,0.5848600000026636,37
6,bias,0,1,1.0834100000066684,38
6,bias,1,1,0.8823399999965914,39
6,bias,0,1,0.7985350000089966,40
6,bias,1,1,0.7179449999965727,41
6,bias,1,1,1.352635000003036,42
6,bias,1,1,0.933765000008978,43
6,bias,1,1,0.9220100000090896,44
6,bias,0,1,0.6157050000037998,45
6,bias,0,1,0.7437199999983423,46
6,bias,0,1,1.2642950000008568,47
6,bias,1,0,2.624260000011418,48
6,bias,0,1,3.323569999992847,49
6,bias,1,1,0.9748849999890664,50
6,bias,0,1,0.9799849999980068,51
6,bias,0,1,0.640230000004638,52
6,bias,1,1,0.660550000000745,53
6,bias,0,1,0.8629049999872223,54
6,bias,0,1,1.406329999997746,55
6,bias,1,1,0.6880850000018254,56
6,bias,0,1,0.7670849999990315,57
6,bias,1,1,0.5779149999869987,58
6,bias,1,1,0.8021199999935925,59
6,bias,1,1,0.7454500000020489,60
6,bias,0,1,0.7125999999986962,61
6,bias,1,1,0.549249999997206,62
6,bias,0,1,0.6889799999911338,63
6,bias,1,1,1.135705000007525,64
6,bias,0,1,1.0027600000035015,65
6,bias,0,1,0.8971349999913946,66
6,bias,1,1,0.7255750000039115,67
6,bias,1,1,0.6679549999972806,68
6,bias,1,1,0.7446449999995529,69
6,bias,0,1,0.8513200000021607,70
6,bias,0,1,0.8492350000012666,71
6,bias,1,1,0.6143199999928475,72
6,bias,1,0,8.315354999998585,73
6,bias,0,1,0.5493149999966845,74
6,bias,0,1,0.6598050000034272,75
6,bias,0,1,1.3598100000089035,76
6,bias,1,1,1.5697950000027197,77
