subject,imagery,signal_present,correct,rt
1,0,0,1,4.881
1,0,0,1,0.61
1,0,1,1,0.967
1,0,0,1,0.691
1,0,1,1,0.616
1,0,0,1,0.76
1,0,0,0,3.928
1,0,0,1,0.999
1,0,1,1,1.351
1,0,1,1,0.568
1,0,1,1,0.511
1,0,0,1,1.373
1,0,1,1,0.5090000000002328
1,0,0,1,0.995
1,0,1,0,1.0450000000002329
1,0,0,1,0.511
1,0,0,1,0.825
1,0,0,1,0.542
1,0,0,1,3.67
1,0,1,1,0.548
1,0,1,1,0.586
1,0,1,1,0.543
1,0,1,1,0.555
1,0,1,1,0.532
1,0,1,0,3.054
1,0,1,1,0.708
1,0,0,1,0.773
1,0,0,1,0.513
1,0,1,1,0.735
1,0,0,1,0.538
1,0,0,1,0.464
1,0,0,1,0.527
1,0,0,1,0.687
1,0,1,0,0.651
1,0,1,0,0.601
1,0,1,0,0.718
1,0,1,0,0.5639999999997671
1,0,1,0,0.68
1,0,1,1,0.7900000000002328
1,0,0,1,0.714
1,0,0,1,1.536
1,0,1,1,0.995
1,0,0,1,0.9009999999997672
1,0,0,1,0.617
1,0,0,1,2.915
1,0,1,1,0.533
1,0,0,1,0.872
1,0,1,1,0.9330000000002329
1,1,1,0,1.589000000000233
1,1,0,1,1.0630000000002329
1,1,0,1,2.443
1,1,1,1,1.295
1,1,0,1,1.851
1,1,0,1,3.964
1,1,0,1,0.7059999999997671
1,1,1,0,0.4739999999997672
1,1,1,1,0.984
1,1,0,1,0.523
1,1,0,1,0.536
1,1,1,0,0.702
1,1,0,1,0.656
1,1,1,1,0.861
1,1,1,1,0.896
1,1,1,0,2.384
1,1,0,0,1.509
1,1,0,1,2.97
1,1,0,1,0.6769999999997671
1,1,1,0,0.705
1,1,1,1,0.816
1,1,0,1,1.14
1,1,1,1,0.924
1,1,1,1,0.8380000000002328
1,0,1,0,2.901000000000233
1,0,0,1,0.512
1,0,1,0,1.326
1,0,1,0,0.449
1,0,1,0,0.446
1,0,0,1,0.334
1,0,1,0,0.485
1,0,0,1,0.411
1,0,0,1,0.4
1,0,1,1,1.168
1,0,0,1,1.0640000000002328
1,0,0,1,1.482
1,0,1,0,0.6
1,0,1,0,0.699
1,0,1,1,2.502000000000233
1,0,1,1,0.942
1,0,1,1,0.6470000000002328
1,0,0,0,0.729
1,0,0,1,1.199
1,0,1,0,1.1790000000002328
1,0,0,1,1.189
