subj,session,block,trial,set_size,response_size_list,response_size_new_words,tested,response,rt,correct,response_category
10,1,1,1,4,0,0,2,430,-1,1,correct
10,1,1,2,4,2,0,1,925,1.586,1,correct
10,1,1,3,2,1,1,1,533,1.399,1,correct
10,1,1,4,8,0,0,8,45,-1,0,new
10,1,1,5,6,4,0,1,477,2.301,1,correct
10,1,1,6,2,2,2,1,1105,2.424,1,correct
10,1,1,7,8,6,4,1,828,3.286,1,correct
10,1,1,8,6,6,0,6,193,3.213,1,correct
10,1,1,9,2,0,0,2,310,-1,1,correct
10,1,1,10,6,1,1,1,324,2.183,1,correct
10,1,1,11,4,1,1,2,985,1.897,1,correct
10,1,1,12,8,8,4,5,1076,4.244,1,correct
10,1,1,13,8,2,2,1,833,1.995,1,correct
10,1,1,14,8,4,4,4,317,6.445,0,intrusion
10,1,1,15,8,1,1,3,965,2.186,1,correct
10,1,1,16,8,2,0,8,634,4.348,1,correct
10,1,1,17,6,6,4,1,91,6.935,1,correct
10,1,1,18,8,8,0,4,286,8.323,0,intrusion
10,1,1,19,4,4,0,1,605,1.54,1,correct
10,1,1,20,2,2,0,1,194,1.025,1,correct
10,1,1,21,4,2,2,3,1182,1.497,1,correct
10,1,1,22,6,2,0,5,156,1.919,1,correct
10,1,1,23,6,0,0,2,539,-1,1,correct
10,1,1,24,6,4,4,6,209,2.488,1,correct
10,1,1,25,4,4,4,3,862,2.465,1,correct
10,1,1,26,8,6,0,6,876,5.92,0,intrusion
10,1,1,27,6,2,2,2,1068,3.658,0,intrusion
10,1,1,28,8,4,0,8,931,2.172,1,correct
10,1,2,1,8,4,4,7,1057,1.96,1,correct
10,1,2,2,8,6,4,5,947,1.957,1,correct
10,1,2,3,4,4,4,1,712,1.757,1,correct
10,1,2,4,6,2,2,4,676,2.042,1,correct
10,1,2,5,4,0,0,3,283,-1,1,correct
10,1,2,6,8,8,0,5,149,1.704,1,correct
10,1,2,7,8,0,0,5,1195,-1,0,intrusion
10,1,2,8,6,4,4,4,683,5.029,1,correct
10,1,2,9,8,1,1,7,340,2.251,1,correct
10,1,2,10,6,0,0,3,122,-1,1,correct
10,1,2,11,6,6,0,3,687,5.553,1,correct
10,1,2,12,8,2,0,4,357,3.363,1,correct
10,1,2,13,2,2,0,2,878,1.108,1,correct
10,1,2,14,6,2,0,6,339,1.332,1,correct
10,1,2,15,8,4,0,2,190,4.115,1,correct
10,1,2,16,6,6,4,4,1004,1.684,1,correct
10,1,2,17,2,2,2,2,598,1.173,1,correct
10,1,2,18,4,4,0,2,753,2.093,1,correct
10,1,2,19,2,0,0,1,970,-1,1,correct
10,1,2,20,4,1,1,4,147,1.688,1,correct
10,1,2,21,4,2,0,4,806,2.17,1,correct
10,1,2,22,2,1,1,2,824,1.514,1,correct
10,1,2,23,6,4,0,3,987,1.633,1,correct
10,1,2,24,8,6,0,1,1048,2.833,1,correct
10,1,2,25,8,8,4,7,583,2.661,1,correct
10,1,2,26,4,2,2,2,865,1.281,1,correct
10,1,2,27,6,1,1,6,81,1.064,1,correct
10,1,2,28,8,2,2,5,892,3.132,1,correct
10,1,3,1,4,1,1,1,296,2.014,1,correct
10,1,3,2,8,1,1,4,773,3.16,1,correct
10,1,3,3,2,1,1,1,254,1.738,1,correct
10,1,3,4,6,1,1,2,119,1.861,1,correct
10,1,3,5,4,4,4,4,602,3.325,1,correct
10,1,3,6,8,6,4,7,262,6.406,1,correct
10,1,3,7,4,4,0,4,293,4.208,1,correct
10,1,3,8,8,4,0,7,656,2.084,1,correct
10,1,3,9,2,0,0,2,898,-1,1,correct
10,1,3,10,6,4,0,4,549,2.053,1,correct
10,1,3,11,6,4,4,5,494,2.173,1,correct
10,1,3,12,8,2,2,4,648,3.051,1,correct
10,1,3,13,8,2,0,7,769,2.327,1,correct
10,1,3,14,4,2,2,1,198,5.523,0,intrusion
10,1,3,15,2,2,0,2,860,2.341,1,correct
10,1,3,16,6,0,0,5,1117,-1,0,new
10,1,3,17,2,2,2,1,538,1.745,1,correct
10,1,3,18,4,2,0,3,281,1.465,1,correct
10,1,3,19,6,6,4,2,745,4.56,1,correct
10,1,3,20,6,2,2,6,77,1.636,1,correct
10,1,3,21,6,2,0,4,1064,1.596,1,correct
10,1,3,22,8,8,4,2,1128,11.858,0,intrusion
10,1,3,23,8,0,0,1,332,-1,0,intrusion
10,1,3,24,6,6,0,5,696,2.303,1,correct
10,1,3,25,8,4,4,3,371,9.203,0,intrusion
10,1,3,26,4,0,0,4,11,-1,1,correct
10,1,3,27,8,8,0,2,624,6.041,1,correct
10,1,3,28,8,6,0,4,814,4.526,1,correct
10,1,4,1,2,0,0,1,530,-1,1,correct
10,1,4,2,8,0,0,2,1185,-1,1,correct
10,1,4,3,4,4,4,2,321,2.88,1,correct
10,1,4,4,4,4,0,3,1114,1.628,1,correct
10,1,4,5,8,4,0,5,31,5.953,0,intrusion
10,1,4,6,4,1,1,3,411,1.995,1,correct
10,1,4,7,8,1,1,1,434,2.221,1,correct
10,1,4,8,6,1,1,4,798,2.199,1,correct
10,1,4,9,2,2,2,2,1027,1.51,1,correct
10,1,4,10,8,8,4,1,691,5.033,1,correct
10,1,4,11,4,2,0,2,213,1.924,1,correct
10,1,4,12,4,2,2,4,354,1.807,1,correct
10,1,4,13,8,6,4,3,456,4.285,1,correct
10,1,4,14,4,0,0,1,322,-1,1,correct
10,1,4,15,8,6,0,8,319,2.48,1,correct
10,1,4,16,2,2,0,1,770,1.354,1,correct
10,1,4,17,6,4,4,1,46,3.96,1,correct
10,1,4,18,8,2,2,2,282,2.584,1,correct
10,1,4,19,6,6,0,2,599,3.401,1,correct
10,1,4,20,6,6,4,5,24,1.633,1,correct
10,1,4,21,6,2,0,1,729,4.031,0,intrusion
10,1,4,22,8,4,4,8,717,2.428,1,correct
10,1,4,23,6,2,2,3,417,3.873,1,correct
10,1,4,24,6,4,0,6,394,1.969,1,correct
10,1,4,25,8,8,0,8,893,2.263,1,correct
10,1,4,26,2,1,1,2,954,1.568,1,correct
10,1,4,27,8,2,0,1,113,3.499,0,intrusion
10,1,4,28,6,0,0,1,369,-1,1,correct
10,1,5,1,4,4,0,4,1060,1.704,1,correct
10,1,5,2,2,1,1,1,521,1.955,1,correct
10,1,5,3,8,2,2,8,975,2.768,1,correct
10,1,5,4,6,4,4,3,1166,3.772,1,correct
10,1,5,5,8,2,0,2,958,2.736,1,correct
10,1,5,6,6,0,0,4,1024,-1,1,correct
10,1,5,7,8,4,0,6,950,2.026,1,correct
10,1,5,8,2,2,2,1,581,1.886,1,correct
10,1,5,9,8,6,0,5,800,8.105,1,correct
10,1,5,10,4,4,4,3,946,1.811,1,correct
10,1,5,11,8,0,0,6,763,-1,1,correct
10,1,5,12,6,6,0,4,387,2.156,1,correct
10,1,5,13,8,8,4,6,621,6.438,0,intrusion
10,1,5,14,6,2,2,5,654,2.057,1,correct
10,1,5,15,6,4,0,5,166,1.695,1,correct
10,1,5,16,2,2,0,2,271,1.719,1,correct
10,1,5,17,4,0,0,2,883,-1,1,correct
10,1,5,18,8,6,4,4,638,5.132,1,correct
10,1,5,19,8,4,4,1,546,3.11,1,correct
10,1,5,20,4,2,0,4,1147,2.679,1,correct
10,1,5,21,8,1,1,8,280,1.936,1,correct
10,1,5,22,8,8,0,6,894,4.19,0,intrusion
10,1,5,23,4,1,1,1,955,1.87,1,correct
10,1,5,24,6,1,1,3,963,1.965,1,correct
10,1,5,25,4,2,2,4,146,1.491,1,correct
10,1,5,26,6,6,4,6,1066,1.401,1,correct
10,1,5,27,6,2,0,2,307,2,1,correct
10,1,5,28,2,0,0,1,392,-1,1,correct
10,1,6,1,6,2,2,1,240,2.318,1,correct
10,1,6,2,8,0,0,7,852,-1,1,correct
10,1,6,3,2,2,2,2,924,1.731,1,correct
10,1,6,4,4,1,1,3,28,1.968,1,correct
10,1,6,5,8,4,4,5,1032,6.362,1,correct
10,1,6,6,2,1,1,2,315,1.588,1,correct
10,1,6,7,8,2,0,5,537,2.147,1,correct
10,1,6,8,6,0,0,6,805,-1,1,correct
10,1,6,9,8,4,0,3,111,6.788,1,correct
10,1,6,10,8,8,4,4,654,5.778,1,correct
10,1,6,11,4,4,0,3,399,1.374,1,correct
10,1,6,12,2,2,0,1,65,1.573,1,correct
10,1,6,13,4,2,2,3,606,3.294,1,correct
10,1,6,14,6,1,1,5,186,1.426,1,correct
10,1,6,15,6,4,0,2,269,7.57,0,intrusion
10,1,6,16,6,6,4,3,116,3.462,1,correct
10,1,6,17,4,4,4,4,12,2.039,1,correct
10,1,6,18,6,2,0,3,604,3.13,1,correct
10,1,6,19,8,6,4,8,664,3.221,1,correct
10,1,6,20,8,6,0,7,387,1.867,1,correct
10,1,6,21,8,1,1,5,5,1.98,1,correct
10,1,6,22,8,2,2,7,1057,3.273,0,intrusion
10,1,6,23,4,2,0,2,1079,1.666,1,correct
10,1,6,24,6,4,4,2,423,3.621,1,correct
10,1,6,25,8,8,0,3,323,4.945,1,correct
10,1,6,26,6,6,0,1,348,3.148,1,correct
10,1,6,27,2,0,0,2,948,-1,1,correct
10,1,6,28,4,0,0,1,139,-1,1,correct
10,1,7,1,8,4,0,4,1173,2.971,1,correct
10,1,7,2,2,2,0,2,1058,1.81,1,correct
10,1,7,3,6,1,1,4,995,2.635,1,correct
10,1,7,4,8,1,1,2,1193,2.727,1,correct
10,1,7,5,6,6,4,6,624,2.849,1,correct
10,1,7,6,8,0,0,4,67,-1,0,intrusion
10,1,7,7,4,2,2,1,534,2.283,1,correct
10,1,7,8,4,4,4,1,830,2.11,1,correct
10,1,7,9,8,2,0,6,184,3.835,1,correct
10,1,7,10,6,0,0,2,453,-1,1,correct
10,1,7,11,2,0,0,2,25,-1,1,correct
10,1,7,12,8,4,4,6,974,2.202,1,correct
10,1,7,13,2,2,2,1,996,1.853,1,correct
10,1,7,14,8,8,4,3,456,5.632,1,correct
10,1,7,15,6,2,2,3,1129,2.029,1,correct
10,1,7,16,8,6,4,2,121,6.439,0,intrusion
10,1,7,17,8,6,0,2,223,7.005,0,intrusion
10,1,7,18,8,2,2,6,89,2.24,1,correct
10,1,7,19,6,4,0,5,812,1.803,1,correct
10,1,7,20,6,4,4,1,824,3.974,1,correct
10,1,7,21,6,6,0,5,1008,1.903,1,correct
10,1,7,22,6,2,0,1,700,2.822,1,correct
10,1,7,23,8,8,0,7,383,3.43,1,correct
10,1,7,24,2,1,1,1,1191,1.644,1,correct
10,1,7,25,4,4,0,1,1146,2.115,1,correct
10,1,7,26,4,1,1,2,158,1.887,1,correct
10,1,7,27,4,0,0,3,333,-1,1,correct
10,1,7,28,4,2,0,3,655,2.196,1,correct
10,2,1,1,8,6,4,2,237,6.673,1,correct
