Subject,Time,condition,amplitude
1,-99.609,Object,0.07594
1,-97.656,Object,0.11576
1,-95.703,Object,0.14416
1,-93.75,Object,0.15562
1,-91.797,Object,0.16782
1,-89.844,Object,0.2028
1,-87.891,Object,0.26007
1,-85.938,Object,0.31901
1,-83.984,Object,0.36099
1,-82.031,Object,0.36508
1,-80.078,Object,0.3129
1,-78.125,Object,0.23205
1,-76.172,Object,0.1765
1,-74.219,Object,0.16186
1,-72.266,Object,0.17335
1,-70.313,Object,0.20305
1,-68.359,Object,0.24176
1,-66.406,Object,0.2684
1,-64.453,Object,0.26793
1,-62.5,Object,0.23813
1,-60.547,Object,0.18693
1,-58.594,Object,0.13327
1,-56.641,Object,0.088657
1,-54.688,Object,0.044374
1,-52.734,Object,-0.0029902
1,-50.781,Object,-0.041912
1,-48.828,Object,-0.069405
1,-46.875,Object,-0.086181
1,-44.922,Object,-0.083624
1,-42.969,Object,-0.06403
1,-41.016,Object,-0.051653
1,-39.063,Object,-0.062719
1,-37.109,Object,-0.082305
1,-35.156,Object,-0.088262
1,-33.203,Object,-0.078706
1,-31.25,Object,-0.067799
1,-29.297,Object,-0.06189
1,-27.344,Object,-0.052634
1,-25.391,Object,-0.039481
1,-23.438,Object,-0.025119
1,-21.484,Object,-0.001396
1,-19.531,Object,0.026085
1,-17.578,Object,0.03798
1,-15.625,Object,0.02776
1,-13.672,Object,-0.0023234
1,-11.719,Object,-0.04325
1,-9.7656,Object,-0.07354
1,-7.8125,Object,-0.078876
1,-5.8594,Object,-0.065582
1,-3.9063,Object,-0.042308
1,-1.9531,Object,-0.0094305
1,0,Object,0.026113
1,1.9531,Object,0.055706
1,3.9063,Object,0.083442
1,5.8594,Object,0.10589
1,7.8125,Object,0.10559
1,9.7656,Object,0.077869
1,11.719,Object,0.034517
1,13.672,Object,-0.0078536
1,15.625,Object,-0.033687
1,17.578,Object,-0.040095
1,19.531,Object,-0.036646
1,21.484,Object,-0.025665
1,23.438,Object,-0.0016437
1,25.391,Object,0.020676
1,27.344,Object,0.0092527
1,29.297,Object,-0.045174
1,31.25,Object,-0.10907
1,33.203,Object,-0.136
1,35.156,Object,-0.11904000000000001
1,37.109,Object,-0.092437
1,39.063,Object,-0.084337
1,41.016,Object,-0.092423
1,42.969,Object,-0.10627
1,44.922,Object,-0.12479
1,46.875,Object,-0.14313
1,48.828,Object,-0.15717
1,50.781,Object,-0.17791
1,52.734,Object,-0.21515
1,54.688,Object,-0.25859
1,56.641,Object,-0.28123
1,58.594,Object,-0.25453
1,60.547,Object,-0.16833
1,62.5,Object,-0.035918
1,64.453,Object,0.117
1,66.406,Object,0.2715
1,68.359,Object,0.42803
1,70.313,Object,0.58902
1,72.266,Object,0.75275
1,74.219,Object,0.93127
1,76.172,Object,1.1392
1,78.125,Object,1.3689
1,80.078,Object,1.6013
1,82.031,Object,1.8227
1,83.984,Object,2.0194
1,85.938,Object,2.1767
1,87.891,Object,2.278
1,89.844,Object,2.3109
1,91.797,Object,2.292
1,93.75,Object,2.2595
1,95.703,Object,2.2493
1,97.656,Object,2.2904
1,99.609,Object,2.403
1,101.56,Object,2.6034
1,103.52,Object,2.9006
1,105.47,Object,3.2901
1,107.42,Object,3.761
1,109.38,Object,4.2962
1,111.33,Object,4.8682
1,113.28,Object,5.4413
1,115.23,Object,5.9769
1,117.19,Object,6.441
1,119.14,Object,6.8225
1,121.09,Object,7.1362
1,123.05,Object,7.4014
1,125,Object,7.6209
1,126.95,Object,7.7764
1,128.91,Object,7.8363
1,130.86,Object,7.7664
1,132.81,Object,7.5421
1,134.77,Object,7.1591
1,136.72,Object,6.6196
1,138.67,Object,5.9271
1,140.63,Object,5.1122
1,142.58,Object,4.236
1,144.53,Object,3.3554
1,146.48,Object,2.5047
1,148.44,Object,1.7106
1,150.39,Object,1.004
1,152.34,Object,0.38567
1,154.3,Object,-0.17886
1,156.25,Object,-0.69996
1,158.2,Object,-1.1542
1,160.16,Object,-1.524
1,162.11,Object,-1.805
1,164.06,Object,-2.0018
1,166.02,Object,-2.1254
1,167.97,Object,-2.1816
1,169.92,Object,-2.176
1,171.88,Object,-2.1205
1,173.83,Object,-2.0181
1,175.78,Object,-1.8647
1,177.73,Object,-1.6662
1,179.69,Object,-1.4402
1,181.64,Object,-1.1961
1,183.59,Object,-0.91787
1,185.55,Object,-0.5817
1,187.5,Object,-0.17797
1,189.45,Object,0.29468
1,191.41,Object,0.83054
1,193.36,Object,1.411
1,195.31,Object,2.0168
1,197.27,Object,2.6459
1,199.22,Object,3.3046
1,201.17,Object,3.9849
1,203.13,Object,4.6714
1,205.08,Object,5.3484
1,207.03,Object,5.9921
1,208.98,Object,6.5933
1,210.94,Object,7.168
1,212.89,Object,7.7305
1,214.84,Object,8.2783
1,216.8,Object,8.8041
1,218.75,Object,9.3134
1,220.7,Object,9.8193
1,222.66,Object,10.324
1,224.61,Object,10.822
1,226.56,Object,11.312
1,228.52,Object,11.786
1,230.47,Object,12.232
1,232.42,Object,12.654
1,234.38,Object,13.062
1,236.33,Object,13.456
1,238.28,Object,13.828
1,240.23,Object,14.171
1,242.19,Object,14.488
1,244.14,Object,14.788
1,246.09,Object,15.073
1,248.05,Object,15.332
1,250,Object,15.558
1,251.95,Object,15.754
1,253.91,Object,15.92
1,255.86,Object,16.045
1,257.81,Object,16.117
1,259.77,Object,16.143
1,261.72,Object,16.14
1,263.67,Object,16.122
1,265.63,Object,16.098
1,267.58,Object,16.068
1,269.53,Object,16.031
1,271.48,Object,15.984
1,273.44,Object,15.93
1,275.39,Object,15.878
1,277.34,Object,15.816
1,279.3,Object,15.731
1,281.25,Object,15.635
1,283.2,Object,15.539
1,285.16,Object,15.432
1,287.11,Object,15.301
1,289.06,Object,15.152
1,291.02,Object,14.998
