ID,a_A,a_B,v_A,v_B,z_A,z_B,t0_A,t0_B
1,1.439,1.513,0.261,1.231,0.523,0.495,0.206,0.19
2,1.462,1.427,0.293,1.18,0.505,0.499,0.2,0.202
3,1.631,1.583,0.284,1.268,0.484,0.469,0.188,0.192
4,1.436,1.439,0.237,1.207,0.517,0.497,0.203,0.196
5,0.593,1.345,0.517,1.227,0.481,0.531,0.28,0.203
6,0.379,1.515,0.466,1.204,0.462,0.565,0.249,0.207
7,1.531,0.251,0.324,0.53,0.524,0.506,0.187,0.237
8,1.407,1.394,0.329,1.17,0.483,0.488,0.189,0.184
9,1.537,0.554,0.305,0.362,0.507,0.474,0.191,0.263
10,0.416,0.977,0.174,0.247,0.474,0.455,0.292,0.296
11,0.904,0.836,0.461,0.296,0.511,0.516,0.254,0.282
12,1.441,1.426,0.274,1.104,0.482,0.496,0.196,0.207
13,1.54,1.525,0.278,1.198,0.542,0.535,0.201,0.207
14,1.546,1.499,0.378,1.156,0.449,0.457,0.192,0.201
15,1.424,1.422,0.291,1.216,0.5,0.499,0.207,0.206
16,1.53,0.54,0.355,1.375,0.486,0.469,0.214,0.264
17,1.596,1.165,0.237,0.185,0.499,0.478,0.194,0.258
18,1.44,0.738,0.397,0,0.483,0.467,0.188,0.283
19,1.632,1.597,0.35,1.011,0.502,0.52,0.2,0.208
20,1.512,1.479,0.287,1.175,0.495,0.483,0.203,0.194
21,1.564,1.565,0.285,1.214,0.48,0.495,0.209,0.212
22,0.566,1.595,0.341,1.198,0.495,0.487,0.252,0.19
23,1.491,1.484,0.372,1.06,0.502,0.514,0.193,0.199
24,1.526,1.519,0.303,1.2,0.512,0.522,0.212,0.215
