id,angle,rt,accuracy
1,0,1355,1
1,150,2079,1
1,150,1834,1
1,100,4780,1
1,50,1685,1
1,50,1237,1
1,100,2961,1
1,0,1275,1
1,150,4716,1
1,150,3794,0
1,50,2238,1
1,0,1524,1
1,0,964,1
1,100,3770,1
1,100,2750,1
1,50,1226,1
1,100,1789,1
1,150,1384,1
1,50,2548,1
1,50,1588,1
1,100,2114,1
1,0,2158,1
1,0,1096,1
1,150,3829,1
1,150,4725,1
1,50,3211,1
1,50,1541,1
1,100,3219,1
1,0,1421,1
1,0,1308,1
1,150,3781,1
1,100,2665,1
1,50,1831,0
1,100,4636,1
1,150,3149,1
1,0,1202,1
1,100,2735,1
1,150,3211,1
1,0,1406,1
1,50,1383,1
1,150,2668,1
1,0,2203,1
1,100,5983,0
1,150,2750,0
1,50,2672,1
1,100,1975,1
1,0,1081,1
1,50,2144,0
1,100,2113,1
1,150,1967,1
1,0,917,1
1,0,1510,1
1,100,3031,1
1,50,1181,1
1,150,5975,0
1,50,1216,1
1,150,1487,1
1,100,2208,1
1,150,2007,1
1,100,1594,0
1,0,854,1
1,0,1791,1
1,50,2273,1
1,50,1992,1
1,150,2413,1
1,0,1423,1
1,150,3209,1
1,0,1435,1
1,50,2213,1
1,50,2598,1
1,100,2018,1
1,100,6237,0
1,100,2944,1
1,100,1448,1
1,150,3868,1
1,0,4086,1
1,0,1364,1
1,50,2642,0
1,50,2136,1
1,150,2775,1
1,50,2794,0
1,0,742,1
1,150,2645,1
1,50,3445,1
1,100,1756,0
1,0,1625,1
1,150,4461,1
1,100,4260,1
1,100,2612,1
1,50,1207,1
1,0,831,1
1,150,2740,1
1,150,2606,1
1,50,1945,1
1,100,1398,1
1,0,2720,1
2,0,4593,1
2,150,5214,1
2,150,3745,1
2,100,NA,0
2,50,3367,0
2,50,3203,1
2,100,6480,1
2,0,1331,1
2,150,6014,1
2,150,3622,0
2,50,4031,1
2,0,1379,1
2,0,1812,1
2,100,3465,1
2,100,5930,1
2,50,NA,0
2,100,117,0
2,150,2982,0
2,50,1994,1
2,50,1578,1
2,100,4534,1
2,0,1380,1
2,0,1687,1
2,150,2509,1
2,150,2556,1
2,50,5280,1
2,50,NA,0
2,100,3946,0
2,0,1000,1
2,0,1686,1
2,150,3598,0
2,100,4577,1
2,50,3717,1
2,100,6542,0
2,150,6042,0
2,0,1827,1
2,100,4686,1
2,150,5282,0
2,0,1357,1
2,50,4601,1
2,150,3516,1
2,0,3220,1
2,100,7454,1
2,150,5791,0
2,50,1692,1
2,100,4066,1
2,0,1034,1
2,50,2836,1
2,100,1924,1
2,150,4835,1
2,0,932,1
2,0,1762,1
2,100,5567,0
2,50,1586,1
2,150,4095,0
2,50,1718,1
2,150,2122,1
2,100,6337,1
2,150,4381,1
2,100,6980,0
2,0,1055,1
2,0,1632,1
2,50,1536,1
2,50,1836,1
2,150,2694,1
2,0,1539,1
2,150,NA,0
2,0,2467,1
2,50,3979,1
2,50,1070,1
2,100,3614,1
2,100,6315,1
2,100,4025,1
2,100,4201,1
2,150,5124,1
2,0,5059,1
2,0,1253,1
2,50,3270,1
2,50,4659,1
2,150,4895,0
2,50,3899,1
2,0,1436,1
2,150,2965,1
2,50,5778,1
2,100,6069,0
2,0,2166,1
2,150,5106,0
2,100,4706,1
2,100,5033,1
2,50,3481,1
2,0,929,1
2,150,5382,1
2,150,6668,0
2,50,2171,1
2,100,3234,1
2,0,4008,1
3,0,2924,1
3,150,3631,1
3,150,2993,1
3,100,6246,1
3,50,2941,1
3,50,2402,1
3,100,3120,1
3,0,1363,1
3,150,4430,1
3,150,5892,1
3,50,4427,1
3,0,1822,1
3,0,1334,1
3,100,3820,1
3,100,2778,1
3,50,4176,1
3,100,5035,1
3,150,5399,1
3,50,2930,1
3,50,1937,1
3,100,3236,1
3,0,1575,1
3,0,1176,1
3,150,5368,1
3,150,2647,1
3,50,5275,1
3,50,2859,1
3,100,4091,1
3,0,1345,1
3,0,2533,1
3,150,3325,0
3,100,5628,1
3,50,7356,1
3,100,3642,1
3,150,4797,0
3,0,2030,1
3,100,4417,1
3,150,3433,1
3,0,1342,1
3,50,1270,1
3,150,6527,1
3,0,1325,1
3,100,5396,1
3,150,6729,1
3,50,1616,1
3,100,4217,1
3,0,1609,1
3,50,2639,1
3,100,3049,1
3,150,3681,1
3,0,2711,1
3,0,1740,1
3,100,3372,1
3,50,963,1
3,150,2054,1
3,50,2125,1
3,150,1760,1
3,100,1972,1
3,150,5673,1
3,100,NA,0
3,0,1703,1
3,0,1295,1
3,50,1086,1
3,50,2183,1
3,150,2208,1
3,0,1347,1
3,150,5904,1
3,0,2773,1
3,50,1333,1
3,50,1726,1
3,100,2380,1
3,100,5672,1
3,100,2970,1
3,100,3307,1
3,150,6274,0
3,0,2292,1
3,0,2073,1
3,50,1528,1
3,50,1692,1
3,150,6458,1
3,50,6253,1
3,0,950,1
3,150,2869,1
3,50,2005,1
3,100,3645,1
3,0,2607,1
3,150,3211,0
3,100,NA,0
3,100,4031,1
3,50,1671,1
3,0,1404,1
3,150,2720,0
3,150,2620,1
3,50,2134,1
3,100,2399,1
3,0,2129,1
4,0,1818,1
4,150,1646,0
4,150,1527,1
4,100,3133,1
4,50,2435,1
4,50,1251,1
4,100,2718,0
4,0,1200,1
4,150,3312,1
4,150,4109,1
4,50,2292,1
4,0,1820,1
4,0,1133,1
4,100,2347,1
4,100,2967,1
4,50,2379,1
4,100,1921,1
4,150,1966,1
4,50,3052,1
4,50,1372,1
4,100,2839,1
4,0,3238,0
4,0,1429,1
4,150,4437,1
4,150,2585,1
4,50,3376,1
4,50,1669,1
4,100,3972,1
4,0,982,1
4,0,1572,1
4,150,2311,0
4,100,3295,1
4,50,1676,1
4,100,2236,1
4,150,2927,0
4,0,1410,1
4,100,2582,1
4,150,2000,1
4,0,1077,1
4,50,1434,1
4,150,1949,1
4,0,2353,1
4,100,3343,1
4,150,1649,1
4,50,1228,1
4,100,2079,1
4,0,1283,1
4,50,3163,1
4,100,2124,1
4,150,3277,1
4,0,908,1
4,0,1004,1
4,100,2104,1
4,50,1011,1
4,150,1569,0
4,50,1258,1
4,150,2800,1
4,100,3494,1
4,150,2989,1
4,100,2223,1
4,0,945,1
4,0,2952,1
4,50,1514,1
4,50,1351,1
4,150,2950,1
4,0,1506,1
4,150,1977,1
4,0,1091,1
4,50,925,1
4,50,1225,1
4,100,5810,1
4,100,2111,1
4,100,1874,1
4,100,1424,1
