cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
left,right,0,0,0,2,,,,,0.002307590009877458,1.0023075900098775,42.342962300012005,None,42.74118840000301,None,43.7191518000036,None,47.140768400000525,None,47.140768400000525,None,f,1.33311560000584,47.140768400000525,None,48.50282780000998,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
none,left,0,1,1,4,,,,,0.014042489987332374,1.0140424899873324,49.99043289999827,None,50.3467088000034,None,51.3462370000052,None,54.75981139999931,None,54.75981139999931,None,j,1.2625816999934614,54.75981139999931,None,56.041985500007286,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
right,left,0,2,2,3,,,,,0.013915789997554384,1.0139157899975544,57.51763729999948,None,58.722847199998796,None,59.72185880001052,None,63.735381899998174,None,63.735381899998174,None,j,1.4088118000072427,63.735381899998174,None,65.16700890001084,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
none,right,0,3,3,5,,,,,0.014134490003925748,1.0141344900039257,66.64186370000243,None,66.7491413000098,None,67.7482302999997,None,71.76172550000774,None,71.76172550000774,None,j,1.4612141999969026,71.76172550000774,None,73.24335780000547,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
left,left,0,4,4,0,,,,,0.014067290001548827,1.0140672900015488,74.71887640000205,None,74.82524200000626,None,75.8245023000054,None,80.83712530000776,None,80.83712530000776,None,f,0.48583679999865126,80.83712530000776,None,81.35328630000004,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
right,right,0,5,5,1,,,,,0.01507269000285305,1.015072690002853,82.82781990000512,None,83.63454410000122,None,84.6336033000116,None,89.1464316000056,None,89.1464316000056,None,j,0.31754910000017844,89.1464316000056,None,89.47949430000153,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.97900180000579,None,space,2.2880285999999614,89.97900180000579,None,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
none,left,,,,,0,0,0,53,0.0031597900087945163,1.0031597900087945,93.27961260000302,None,94.09199290000834,None,95.09104880000814,None,100.1036282999994,None,100.1036282999994,None,j,0.9894150000036461,100.1036282999994,None,101.11934200000542,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
none,right,,,,,0,1,1,79,0.01423488998261746,1.0142348899826175,102.59449090000999,None,102.95097309999983,None,103.95007299999997,None,108.96254610001051,None,108.96254610001051,None,j,1.3572795999934897,108.96254610001051,None,110.34451980001177,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
none,left,,,,,0,2,2,42,0.014021890005096793,1.0140218900050968,111.82114510000974,None,112.62596699999995,None,113.62494990001142,None,118.63733219999995,None,118.63733219999995,None,None,,118.63733219999995,None,120.13582999999926,None,,,,,,,SS91,2022_Mar_06_0953,rdk-discrimination,2021.2.3,59.944635133868026,
