cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
right,left,0,0,0,3,,,,,0.0063730200054124,1.0063730200054124,26.42215900006704,None,26.90639470005408,None,27.801101400051266,None,32.82823800004553,None,32.82823800004553,None,None,32.82823800004553,None,34.32206989999395,None,,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
left,right,0,1,1,2,,,,,0.014244859921745956,1.014244859921746,35.79684220009949,None,36.152910500066355,None,37.15091210009996,None,42.15206940006465,None,42.15206940006465,None,f,42.15206940006465,None,42.55983909999486,None,0.34295710001606494,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
none,right,0,2,2,5,,,,,0.012865660013630986,1.012865660013631,44.048232500092126,None,44.85208270000294,None,45.85084560001269,None,50.35232140007429,None,50.35232140007429,None,j,50.35232140007429,None,51.43539300002158,None,1.0503424999769777,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
left,left,0,3,3,0,,,,,0.012646159972064197,1.0126461599720642,52.92916040006094,None,53.73406420007814,None,54.7342278000433,None,59.23536330007482,None,59.23536330007482,None,f,59.23536330007482,None,60.18421289999969,None,0.9193625000771135,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
right,right,0,4,4,1,,,,,0.012191259884275496,1.0121912598842755,61.66677420004271,None,62.8695096001029,None,63.867596200085245,None,68.86913640005514,None,68.86913640005514,None,j,68.86913640005514,None,70.15246940008365,None,1.2564573000418022,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
none,left,0,5,5,4,,,,,0.012554559973068535,1.0125545599730685,71.64933060004842,None,72.4506441000849,None,73.45077430002857,None,77.95178500004113,None,77.95178500004113,None,f,77.95178500004113,None,78.85202370001934,None,0.8831753999693319,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.36743350001052,None,space,5.143997399951331,79.36743350001052,None,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
right,right,,,,,0,0,0,26,0.004449820029549301,1.0044498200295493,85.53952650004067,None,86.75304590002634,None,87.75086860009469,None,92.25424480007496,None,92.25424480007496,None,j,92.25424480007496,None,93.48815710004419,None,1.214310200070031,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
none,right,,,,,0,1,1,63,0.012154359952546656,1.0121543599525467,94.97926769999322,None,95.33386510005221,None,96.33388859999832,None,100.83489040005952,None,100.83489040005952,None,f,100.83489040005952,None,102.21253070002422,None,1.3452737999614328,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
none,left,,,,,0,2,2,46,0.01269926002714783,1.0126992600271478,103.69906370004173,None,104.05142590007745,None,105.0504915000638,None,108.45210690004751,None,108.45210690004751,None,None,108.45210690004751,None,109.95398420002311,None,,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
left,right,,,,,0,3,3,35,0.014558260096237063,1.014558260096237,111.44649030000437,None,112.65045360010117,None,113.65058370004408,None,118.15219080005772,None,118.15219080005772,None,f,118.15219080005772,None,119.3141947000986,None,1.1181240000296384,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
none,left,,,,,0,4,4,57,0.012776359915733337,1.0127763599157333,120.79614380002022,None,121.60122390009928,None,122.60031300003175,None,127.10146590007935,None,127.10146590007935,None,f,127.10146590007935,None,128.49565590010025,None,1.3597594000166282,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
left,left,,,,,0,5,5,14,0.012689959956333041,1.012689959956333,129.97992350009736,None,130.08371760009322,None,131.08345999999437,None,135.58513360004872,None,135.58513360004872,None,f,135.58513360004872,None,137.01929460000247,None,1.4130593000445515,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
right,right,,,,,0,6,6,20,0.012770759989507496,1.0127707599895075,138.51280120003503,None,138.61711860005744,None,139.61672030005138,None,144.1182522000745,None,144.1182522000745,None,j,144.1182522000745,None,145.067873800057,None,0.9278025000821799,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
right,right,,,,,0,7,7,23,0.01280286000110209,1.012802860001102,146.5620180000551,None,146.66665270004887,None,147.66675960004795,None,151.06770470004994,None,151.06770470004994,None,j,151.06770470004994,None,152.5509153000312,None,1.4661134000634775,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
none,right,,,,,0,8,8,60,0.012639360036700964,1.012639360036701,154.030167000019,None,154.38351680000778,None,155.38321840006392,None,158.78663870005403,None,158.78663870005403,None,j,158.78663870005403,None,160.0364499000134,None,1.227981899981387,,,,,,,VP2,2022_Mar_07_1302,rdk-discrimination,2021.2.3,59.998980037511906,
