cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
right,right,0,0,0,1,,,,,0.010847439931239933,1.26084743993124,90.02148779999698,None,90.47220979997655,None,91.41090139996959,None,95.92774329998065,None,95.92774329998065,None,j,0.4522801000275649,95.92774329998065,None,96.44121279998217,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
none,right,0,1,1,5,,,,,0.016518380027264357,1.2665183800272644,98.17660639999667,None,99.41088270000182,None,100.41108130000066,None,105.41103030001977,None,105.41103030001977,None,f,0.5691139999544248,105.41103030001977,None,106.0166334999958,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
left,left,0,2,2,0,,,,,0.016777980024926364,1.2667779800249264,107.75912539998535,None,108.5986564999912,None,109.59881409996888,None,114.59870450000744,None,114.59870450000744,None,f,0.3246402000077069,114.59870450000744,None,114.95771669998066,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
right,left,0,3,3,3,,,,,0.0168733800528571,1.266873380052857,116.6974350999808,None,117.51472129998729,None,118.53604829998221,None,123.03605200001039,None,123.03605200001039,None,f,0.6773194999550469,123.03605200001039,None,123.74371670000255,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
none,left,0,4,4,4,,,,,0.016963580041192472,1.2669635800411925,125.46821770002134,None,125.82733399997232,None,126.84876039996743,None,130.26544149999972,None,130.26544149999972,None,f,0.6509349999832921,130.26544149999972,None,130.9533012000029,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
left,right,0,5,5,2,,,,,0.016961380024440587,1.2669613800244406,132.67682849999983,None,133.8904276000103,None,134.91097049997188,None,139.41171710001072,None,139.41171710001072,None,f,0.4773923000320792,139.41171710001072,None,139.9170090999687,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.4313946000184,None,space,9.236358800029848,140.4313946000184,None,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
right,right,,,,,0,0,0,22,0.007506940048187971,1.257506940048188,150.97837859997526,None,151.78880450001452,None,152.8073766999878,None,156.2240375999827,None,156.2240375999827,None,j,0.3731065000174567,156.2240375999827,None,156.62737210001796,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
none,right,,,,,0,1,1,73,0.01598607999039814,1.2659860799903981,158.36366869998164,None,158.47427930001868,None,159.49397489998955,None,163.99455270002363,None,163.99455270002363,None,j,0.583426600031089,163.99455270002363,None,164.599086000002,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
none,right,,,,,0,2,2,64,0.016662780020851642,1.2666627800208516,166.32319899997674,None,167.53566900000442,None,168.55736829998204,None,173.55700159998378,None,173.55700159998378,None,j,0.4822441000142135,173.55700159998378,None,174.07687779999105,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
none,right,,,,,0,3,3,62,0.016737779951654375,1.2667377799516544,175.80081549996976,None,175.91056589997606,None,176.931510000024,None,180.93200739996973,None,180.93200739996973,None,j,0.665333200013265,180.93200739996973,None,181.62027239997406,None,,,,,,,rh,2022_Mar_02_1105,rdk-discrimination,2021.2.3,48.02919406844028,
