trial,ID,cue,direction,response,rt,choice,correct,condition
0,JH,right,right,1,0.7136440720000792,right,1,valid
1,JH,right,right,1,0.6271285100001478,right,1,valid
2,JH,none,right,0,0.6703409599999759,left,0,neutral
3,JH,none,right,1,0.5738487590001569,right,1,neutral
4,JH,left,left,1,0.8405912719999833,right,0,valid
5,JH,none,right,1,0.6678840849999688,right,1,neutral
6,JH,none,left,1,1.1236920199999076,right,0,neutral
7,JH,left,left,0,0.6402048320001086,left,1,valid
8,JH,left,right,0,1.1291791140001806,left,0,invalid
9,JH,none,right,1,1.02830285500022,right,1,neutral
10,JH,none,left,0,1.3487436020000132,left,1,neutral
11,JH,left,left,0,0.6875616349998381,left,1,valid
12,JH,left,left,0,0.7210003919999508,left,1,valid
13,JH,none,left,0,0.6548104700000295,left,1,neutral
14,JH,right,right,1,1.0176621870000415,right,1,valid
15,JH,none,right,1,1.1211003019998316,right,1,neutral
16,JH,left,left,0,1.0786990429996877,left,1,valid
17,JH,right,left,0,0.6432690420001563,left,1,invalid
18,JH,right,right,1,0.7162547789998825,right,1,valid
19,JH,left,left,0,0.5782550239996453,left,1,valid
20,JH,right,left,0,0.6798541930002102,left,1,invalid
21,JH,right,right,1,1.0605420120000415,right,1,valid
22,JH,none,left,0,0.846463119999953,left,1,neutral
23,JH,right,right,0,0.6517283389998738,left,0,valid
24,JH,none,right,1,0.9332569250000232,right,1,neutral
25,JH,right,right,1,0.7031123490000937,right,1,valid
26,JH,none,right,1,0.6624604220000947,right,1,neutral
27,JH,left,left,0,0.5986355770000955,left,1,valid
28,JH,none,left,0,0.6588991400003579,left,1,neutral
29,JH,none,left,0,0.6497466420000819,left,1,neutral
30,JH,none,left,0,0.6238631899996108,left,1,neutral
31,JH,left,right,1,0.9437082439999358,right,1,invalid
32,JH,none,left,0,0.649637502999667,left,1,neutral
33,JH,left,left,0,0.6190436700003374,left,1,valid
34,JH,none,left,1,0.7581620870000734,right,0,neutral
35,JH,none,left,1,0.8612618040001507,right,0,neutral
36,JH,none,left,0,0.9624860869998884,left,1,neutral
37,JH,none,right,1,0.9260427260001052,right,1,neutral
38,JH,right,right,1,0.658227739999802,right,1,valid
39,JH,left,left,0,0.6235924499997054,left,1,valid
40,JH,left,right,0,0.48326289699980407,left,0,invalid
41,JH,right,left,0,0.7789658430001509,left,1,invalid
42,JH,right,right,1,0.6609857839998767,right,1,valid
43,JH,none,right,1,0.8030610119999437,right,1,neutral
44,JH,none,right,0,0.968812779000018,left,0,neutral
45,JH,none,left,0,0.6501818400001866,left,1,neutral
46,JH,none,left,0,0.6246839199998249,left,1,neutral
47,JH,none,right,1,0.7928912120000859,right,1,neutral
48,JH,none,left,0,0.6193752389999645,left,1,neutral
49,JH,right,right,1,0.5427605830000175,right,1,valid
50,JH,right,right,1,0.6746626290000677,right,1,valid
51,JH,none,left,0,1.0001105010001083,left,1,neutral
52,JH,none,right,1,0.8019095610002296,right,1,neutral
53,JH,none,right,1,0.6174737190003725,right,1,neutral
54,JH,left,left,0,1.0782667359999325,left,1,valid
55,JH,left,left,0,0.6465748489999896,left,1,valid
56,JH,right,right,1,1.0327619360000426,right,1,valid
57,JH,none,right,1,0.5432526849999704,right,1,neutral
58,JH,none,left,0,0.6010283310001796,left,1,neutral
59,JH,none,right,1,0.6992552110000361,right,1,neutral
60,JH,left,right,1,0.7582696270001179,right,1,invalid
61,JH,left,left,0,0.7653933729998244,left,1,valid
62,JH,none,right,1,1.2679839779998474,right,1,neutral
63,JH,none,left,1,1.3560544120000486,right,0,neutral
64,JH,left,left,0,0.6564173080000728,left,1,valid
65,JH,left,left,0,0.6504031499998746,left,1,valid
66,JH,none,right,0,0.8663144070001181,left,0,neutral
67,JH,right,right,1,0.4381458349998866,right,1,valid
68,JH,left,left,0,NA,left,1,valid
69,JH,none,left,0,0.6312390709999818,left,1,neutral
70,JH,none,left,0,0.8346058310003173,left,1,neutral
71,JH,right,right,1,0.6990933590000168,right,1,valid
72,JH,none,left,0,0.6043118310003592,left,1,neutral
73,JH,left,left,0,0.41496975600011865,left,1,valid
74,JH,right,left,0,0.7175860000002103,left,1,invalid
75,JH,right,right,1,0.5857637459998841,right,1,valid
76,JH,none,right,1,0.5772476560000541,right,1,neutral
77,JH,none,right,1,0.757285574999969,right,1,neutral
78,JH,none,right,1,0.950872980999975,right,1,neutral
79,JH,right,right,1,0.564356212000348,right,1,valid
80,JH,left,left,0,0.5018182049998359,left,1,valid
81,JH,left,left,0,0.6575012059997789,left,1,valid
82,JH,none,right,1,0.8746510380001382,right,1,neutral
83,JH,none,left,0,0.7461508689998482,left,1,neutral
84,JH,none,left,0,0.6962897690000318,left,1,neutral
85,JH,none,right,1,1.2612515689997963,right,1,neutral
86,JH,right,right,1,0.9509278639998228,right,1,valid
87,JH,none,right,0,0.9653231050001524,left,0,neutral
88,JH,right,right,1,0.5814191640001809,right,1,valid
