cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,right,0,0,0,5,,,,,0.010334281999803352,2.0103342819998034,26.794248298000184,None,27.19849252300037,None,28.17813573100011,None,32.18642249699997,None,32.18642249699997,None,None,32.18642249699997,None,33.70199526600027,None,,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,right,0,1,1,2,,,,,0.03202712900019833,2.0320271290001983,36.165223635000075,None,36.28205458100001,None,37.282403008000074,None,41.30144563900012,None,41.30144563900012,None,f,41.30144563900012,None,42.288993867000045,None,0.9339198970001235,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,0,2,2,1,,,,,0.032173168000099395,2.0321731680000994,44.785214097000335,None,46.00328722700033,None,47.003736720000234,None,52.01071598700037,None,52.01071598700037,None,j,52.01071598700037,None,52.92295341600038,None,0.8488816120002411,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,0,3,3,0,,,,,0.03215334399965286,2.032153343999653,55.391376949000005,None,56.19407447499998,None,57.22526867600027,None,61.23181176900016,None,61.23181176900016,None,f,61.23181176900016,None,62.21611334800036,None,0.9396017950002715,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,0,4,4,4,,,,,0.03213911900002131,2.0321391190000213,64.712044591,None,64.81315436100022,None,65.84603222100031,None,69.25239932100021,None,69.25239932100021,None,None,69.25239932100021,None,70.78540664100001,None,,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,left,0,5,5,3,,,,,0.03231779199995799,2.032317791999958,73.24959620900017,None,74.45209347000036,None,75.48391156900016,None,79.99045189100025,None,79.99045189100025,None,f,79.99045189100025,None,80.80310579900015,None,0.7490084209998713,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.30346361500006,None,space,3.1879241159999765,81.30346361500006,None,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,0,0,18,0.016000077000171586,2.0160000770001716,86.5224538120001,None,86.89231277099998,None,87.92301979700005,None,92.92986831999997,None,92.92986831999997,None,j,92.92986831999997,None,93.70923742500008,None,0.7136440720000792,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,1,1,31,0.03181623299997227,2.0318162329999723,96.17698497900028,None,96.54602301400018,None,97.57769733000032,None,101.5842264820003,None,101.5842264820003,None,j,101.5842264820003,None,102.2667335670003,None,0.6271285100001478,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,2,2,66,0.03211475599982805,2.032114755999828,104.76462733200015,None,105.13301907200002,None,106.16508233000013,None,110.67183227500027,None,110.67183227500027,None,f,110.67183227500027,None,111.38828467500025,None,0.6703409599999759,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
