cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
right,right,0,0,0,1,,,,,0.014884109958074987,1.014884109958075,33.6003800999606,None,34.07926269993186,None,34.9806910000043,None,38.99883559998125,None,38.99883559998125,None,j,1.0626320000737906,38.99883559998125,None,40.12350599991623,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,0,1,1,4,,,,,0.011829869938082993,1.011829869938083,41.61109919997398,None,41.716590099968016,None,42.714270399999805,None,47.216411800007336,None,47.216411800007336,None,f,0.8153390999650583,47.216411800007336,None,48.05069469998125,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
right,left,0,2,2,3,,,,,0.012555969879031181,1.0125559698790312,49.54604669997934,None,50.34734400000889,None,51.34748829994351,None,55.84852299990598,None,55.84852299990598,None,f,0.9968049000017345,55.84852299990598,None,56.86399639991578,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,left,0,3,3,0,,,,,0.012992569943889976,1.01299256994389,58.34328269993421,None,59.5510533999186,None,60.54991790000349,None,63.96567669999786,None,63.96567669999786,None,j,0.7465088999597356,63.96567669999786,None,64.75738229998387,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,right,0,4,4,5,,,,,0.01292697002645582,1.0129269700264558,66.24333909992129,None,67.04723759996705,None,68.04737489996478,None,72.04828149999958,None,72.04828149999958,None,j,1.0626003000652418,72.04828149999958,None,73.14130289992318,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,right,0,5,5,2,,,,,0.012641869951039553,1.0126418699510396,74.62693649996072,None,74.73338370001875,None,75.73095659993123,None,80.23216409992892,None,80.23216409992892,None,j,0.9476563000353053,80.23216409992892,None,81.19739380001556,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.69732049992308,None,space,3.662202800041996,81.69732049992308,None,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,,,,,0,0,0,53,0.007405839976854622,1.0074058399768546,86.38318699994124,None,86.74708819994703,None,87.74706470000092,None,91.75048529997002,None,91.75048529997002,None,j,1.0618570999940857,91.75048529997002,None,92.85000809992198,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,left,,,,,0,1,1,2,0.012038270011544228,1.0120382700115442,94.34410929994192,None,94.69976029999088,None,95.69716849992983,None,100.19874739996158,None,100.19874739996158,None,j,1.0096807000227273,100.19874739996158,None,101.23232740000822,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,left,,,,,0,2,2,11,0.012825170066207647,1.0128251700662076,102.72845419996884,None,103.93074659991544,None,104.93035689997487,None,108.93161309999414,None,108.93161309999414,None,j,1.1535818999400362,108.93161309999414,None,110.11360589996912,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,,,,,0,3,3,59,0.01271016988903284,1.0127101698890328,111.5934420999838,None,112.79687269998249,None,113.79689170001075,None,118.29816479992587,None,118.29816479992587,None,None,,118.29816479992587,None,119.81008119997568,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,,,,,0,4,4,48,0.014707670081406832,1.0147076700814068,121.29373259993736,None,122.09676159999799,None,123.09680880000815,None,127.09798479999881,None,127.09798479999881,None,j,1.1372344000265002,127.09798479999881,None,128.27700669993646,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,right,,,,,0,5,5,33,0.01276826998218894,1.012768269982189,129.7611445999937,None,130.11639869993087,None,131.113652799977,None,135.11508329992648,None,135.11508329992648,None,j,0.9681626999517903,135.11508329992648,None,136.10865229996853,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,,,,,0,6,6,42,0.012741569895297289,1.0127415698952973,137.59645489999093,None,137.94717900000978,None,138.9467923999764,None,142.3477304999251,None,142.3477304999251,None,f,1.1474206000566483,142.3477304999251,None,143.51327409991063,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
right,left,,,,,0,7,7,38,0.012934369849972427,1.0129343698499724,144.9920839999104,None,145.34661859995686,None,146.34685019997414,None,150.84784579998814,None,150.84784579998814,None,j,0.8974624000256881,150.84784579998814,None,151.77815049991477,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,left,,,,,0,8,8,13,0.012527670012786984,1.012527670012787,153.25862330000382,None,153.61591809999663,None,154.61327949992847,None,159.6142851000186,None,159.6142851000186,None,f,1.1764825000427663,159.6142851000186,None,160.8235061999876,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
right,right,,,,,0,9,9,30,0.012675670091994107,1.012675670091994,162.30909090000205,None,163.11466189997736,None,164.11307229998056,None,169.11427179991733,None,169.11427179991733,None,j,0.8273097999626771,169.11427179991733,None,169.9633063999936,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,,,,,0,10,10,44,0.012886770069599152,1.0128867700695992,171.4420575000113,None,171.79660909995437,None,172.79662409995217,None,177.7976411000127,None,177.7976411000127,None,j,1.095858299988322,177.7976411000127,None,178.92759380000643,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,right,,,,,0,11,11,79,0.012811869964934886,1.0128118699649349,180.40978139999788,None,180.51309089991264,None,181.51307330001146,None,184.91434559994377,None,184.91434559994377,None,j,0.9538939000340179,184.91434559994377,None,185.90812699997332,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
left,left,,,,,0,12,12,5,0.013076870003715158,1.0130768700037152,187.3930278000189,None,188.19619919999968,None,189.1961341999704,None,193.69734119996428,None,193.69734119996428,None,f,1.2499623999465257,193.69734119996428,None,194.9640059999656,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,left,,,,,0,13,13,56,0.01294756995048374,1.0129475699504837,196.4449481999036,None,196.54629909992218,None,197.54651040001772,None,200.94824759999756,None,200.94824759999756,None,None,,200.94824759999756,None,202.4535259999102,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,right,,,,,0,14,14,73,0.014683569897897542,1.0146835698978975,203.94031709991395,None,204.74610599991865,None,205.74609459994826,None,210.24723839992657,None,210.24723839992657,None,j,1.045293000061065,210.24723839992657,None,211.32572409999557,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
right,right,,,,,0,15,15,19,0.012473569950088859,1.0124735699500889,212.80987819994334,None,214.01556610001717,None,215.01230990001932,None,219.01381839998066,None,219.01381839998066,None,j,0.9617186000104994,219.01381839998066,None,219.9980390999699,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,right,,,,,0,16,16,62,0.012875369982793927,1.012875369982794,221.49349409993738,None,222.29600600001868,None,223.29607379995286,None,228.29832679999527,None,228.29832679999527,None,j,1.4596197999780998,228.29832679999527,None,229.77919149992522,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
none,right,,,,,0,17,17,68,0.012916569830849767,1.0129165698308498,231.2583523999201,None,232.06267779995687,None,233.0628629999701,None,236.46472539997194,None,236.46472539997194,None,f,1.0449420000659302,236.46472539997194,None,237.54615069995634,None,,,,,,,VP1,2022_Mar_07_1237,rdk-discrimination,2021.2.3,59.99689216525945,
