cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
left,left,0,0,0,0,,,,,0.00025762998848222196,1.0002576299884822,60.99864960000559,None,61.848519399994984,None,62.82276910000655,None,67.34139499999583,None,67.34139499999583,None,None,67.34139499999583,None,68.83375119999982,None,,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,0,1,1,4,,,,,0.014110830015852116,1.0141108300158521,70.30972190000466,None,70.66579100000672,None,71.66494220000459,None,75.67830519999552,None,75.67830519999552,None,j,75.67830519999552,None,76.07777859999624,None,0.3768142000044463,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,0,2,2,5,,,,,0.013705129997106269,1.0137051299971063,77.55318709999847,None,78.35916940000607,None,79.35829540000123,None,83.37151440000162,None,83.37151440000162,None,j,83.37151440000162,None,83.83795270000701,None,0.4427388000040082,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
right,right,0,3,3,1,,,,,0.013585330016212538,1.0135853300162125,85.31326280000212,None,85.66940470000554,None,86.66843710000103,None,91.6809540999966,None,91.6809540999966,None,j,91.6809540999966,None,92.04716040000494,None,0.34939639999356586,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,right,0,4,4,2,,,,,0.013610529989819042,1.013610529989819,93.5239287000004,None,94.72826010000426,None,95.72747179999715,None,99.14104149999912,None,99.14104149999912,None,f,99.14104149999912,None,99.84019449999323,None,0.6781067999982042,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
right,left,0,5,5,3,,,,,0.014314029991510324,1.0143140299915103,101.31675120000727,None,102.52125649999653,None,103.52062150000711,None,108.03332070000761,None,108.03332070000761,None,j,108.03332070000761,None,108.33308979999856,None,0.27705560000322293,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.83248149999417,None,space,6.567128700000467,108.83248149999417,None,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,left,,,,,0,0,0,5,0.0013031299895374104,1.0013031299895374,116.41604759999609,None,117.6248537000065,None,118.62393800000427,None,122.63736320000316,None,122.63736320000316,None,f,122.63736320000316,None,123.08670290000737,None,0.43071990000316873,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,1,1,48,0.009744029986904934,1.009744029986905,124.56639969999378,None,124.9185892999958,None,125.91762500000186,None,130.43060799999512,None,130.43060799999512,None,j,130.43060799999512,None,130.79682299999695,None,0.3362477999908151,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,2,2,74,0.014590730017516762,1.0145907300175168,132.27237619999505,None,132.62847840000177,None,133.62768010000582,None,138.6400716000062,None,138.6400716000062,None,j,138.6400716000062,None,139.37250860000495,None,0.7057000000058906,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,3,3,52,0.014364729999215342,1.0143647299992153,140.84837490000064,None,140.95462970000517,None,141.9537241999933,None,146.4664988000004,None,146.4664988000004,None,j,146.4664988000004,None,146.89923409999756,None,0.4181665000069188,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,4,4,62,0.013567829999374226,1.0135678299993742,148.37417150000692,None,149.5804511000024,None,150.57951599999797,None,153.99321070000587,None,153.99321070000587,None,j,153.99321070000587,None,154.29281519999495,None,0.28204059999552555,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,left,,,,,0,5,5,14,0.0134250299888663,1.0134250299888663,155.7706099000061,None,156.9739522000018,None,157.9730053999956,None,162.48588209999434,None,162.48588209999434,None,f,162.48588209999434,None,163.43493440000748,None,0.9196444999979576,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,6,6,43,0.014066529998672195,1.0140665299986722,164.91108740000345,None,165.2666190000018,None,166.26584300000104,None,170.77862979999918,None,170.77862979999918,None,f,170.77862979999918,None,171.67782070000248,None,0.8675415000034263,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,7,7,68,0.013870030001271516,1.0138700300012715,173.15358549999655,None,173.9594029,None,174.95826939999824,None,179.97071540000616,None,179.97071540000616,None,j,179.97071540000616,None,180.30353150000155,None,0.31296650000149384,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,8,8,72,0.014403329987544566,1.0144033299875446,181.77856029999384,None,182.58496579999337,None,183.58405530000164,None,187.59746420000738,None,187.59746420000738,None,j,187.59746420000738,None,188.2633036000043,None,0.6394901000021491,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,9,9,69,0.013088130013784394,1.0130881300137844,189.74021390000416,None,190.54459320000024,None,191.54379919999337,None,196.55641540000215,None,196.55641540000215,None,f,196.55641540000215,None,196.85585320000246,None,0.27560220001032576,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,10,10,70,0.014273429987952113,1.0142734299879521,198.33111490000738,None,198.4379043999943,None,199.43697340000654,None,203.949824299998,None,203.949824299998,None,f,203.949824299998,None,204.68238399999973,None,0.7060162999987369,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,11,11,59,0.014061829991987906,1.014061829991988,206.15880330000073,None,207.36328229999344,None,208.36242340000172,None,212.8754442000063,None,212.8754442000063,None,f,212.8754442000063,None,213.55802460000268,None,0.6646781000017654,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
right,right,,,,,0,12,12,18,0.014394829995580949,1.014394829995581,215.03207519999705,None,215.83939259999897,None,216.83847859999514,None,221.3513368999993,None,221.3513368999993,None,j,221.3513368999993,None,221.70086789999914,None,0.3328334000107134,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,left,,,,,0,13,13,41,0.014302829978987575,1.0143028299789876,223.17643989999488,None,223.28286259999732,None,224.28188409999711,None,228.2952321000048,None,228.2952321000048,None,f,228.2952321000048,None,228.59483000000182,None,0.27427629999874625,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
none,right,,,,,0,14,14,60,0.014265029996749945,1.01426502999675,230.07094920000236,None,231.27585089999775,None,232.27484129999357,None,237.2874082000053,None,237.2874082000053,None,f,237.2874082000053,None,237.83666869999433,None,0.522677200002363,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
right,right,,,,,0,15,15,17,0.01361382998584304,1.013613829985843,239.3130247999943,None,239.41873360000318,None,240.41796160000376,None,244.9306082999974,None,244.9306082999974,None,j,244.9306082999974,None,245.39671149999776,None,0.44624499999918044,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
left,left,,,,,0,16,16,8,0.014278230009949766,1.0142782300099498,246.873508699995,None,247.22849280000082,None,248.22763930000656,None,252.74075379999704,None,252.74075379999704,None,f,252.74075379999704,None,253.17332289999467,None,0.40530779999971855,,,,,,,sb,2022_Mar_06_0746,rdk-discrimination,2021.2.3,60.11544570619985,
