cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate
none,right,0,0,0,5,,,,,0.010334282,2.010334282,26.7942483,None,27.19849252,None,28.17813573,None,32.1864225,None,32.1864225,None,None,32.1864225,None,33.70199527,None,,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,0,1,1,2,,,,,0.032027129,2.032027129,36.16522364,None,36.28205458,None,37.28240301,None,41.30144564,None,41.30144564,None,f,41.30144564,None,42.28899387,None,0.933919897,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,0,2,2,1,,,,,0.032173168,2.032173168,44.7852141,None,46.00328723,None,47.00373672,None,52.01071599,None,52.01071599,None,j,52.01071599,None,52.92295342,None,0.848881612,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,0,3,3,0,,,,,0.032153344,2.032153344,55.39137695,None,56.19407447,None,57.22526868,None,61.23181177,None,61.23181177,None,f,61.23181177,None,62.21611335,None,0.939601795,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,0,4,4,4,,,,,0.032139119,2.032139119,64.71204459,None,64.81315436,None,65.84603222,None,69.25239932,None,69.25239932,None,None,69.25239932,None,70.78540664,None,,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,0,5,5,3,,,,,0.032317792,2.032317792,73.24959621,None,74.45209347,None,75.48391157,None,79.99045189,None,79.99045189,None,f,79.99045189,None,80.8031058,None,0.749008421,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.30346362,None,space,3.187924116,81.30346362,None,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,0,0,18,0.016000077,2.016000077,86.52245381,None,86.89231277,None,87.9230198,None,92.92986832,None,92.92986832,None,j,92.92986832,None,93.70923743,None,0.713644072,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,1,1,31,0.031816233,2.031816233,96.17698498,None,96.54602301,None,97.57769733,None,101.5842265,None,101.5842265,None,j,101.5842265,None,102.2667336,None,0.62712851,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,2,2,66,0.032114756,2.032114756,104.7646273,None,105.1330191,None,106.1650823,None,110.6718323,None,110.6718323,None,f,110.6718323,None,111.3882847,None,0.67034096,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
