ID,group,type,count
1,induction,Hits,3
1,induction,FA,1
1,induction,Miss,1
1,induction,CR,3
1,induction,S,4
1,induction,N,4
2,induction,Hits,4
2,induction,FA,0
2,induction,Miss,0
2,induction,CR,4
2,induction,S,4
2,induction,N,4
3,induction,Hits,4
3,induction,FA,4
3,induction,Miss,0
3,induction,CR,0
3,induction,S,4
3,induction,N,4
4,induction,Hits,4
4,induction,FA,1
4,induction,Miss,0
4,induction,CR,3
4,induction,S,4
4,induction,N,4
5,induction,Hits,4
5,induction,FA,3
5,induction,Miss,0
5,induction,CR,1
5,induction,S,4
5,induction,N,4
6,induction,Hits,4
6,induction,FA,4
6,induction,Miss,0
6,induction,CR,0
6,induction,S,4
6,induction,N,4
7,induction,Hits,4
7,induction,FA,1
7,induction,Miss,0
7,induction,CR,3
7,induction,S,4
7,induction,N,4
8,induction,Hits,4
8,induction,FA,3
8,induction,Miss,0
8,induction,CR,1
8,induction,S,4
8,induction,N,4
9,induction,Hits,4
9,induction,FA,0
9,induction,Miss,0
9,induction,CR,4
9,induction,S,4
9,induction,N,4
10,induction,Hits,4
10,induction,FA,2
10,induction,Miss,0
10,induction,CR,2
10,induction,S,4
10,induction,N,4
11,induction,Hits,3
11,induction,FA,2
11,induction,Miss,1
11,induction,CR,2
11,induction,S,4
11,induction,N,4
12,induction,Hits,4
12,induction,FA,2
12,induction,Miss,0
12,induction,CR,2
12,induction,S,4
12,induction,N,4
13,induction,Hits,4
13,induction,FA,0
13,induction,Miss,0
13,induction,CR,4
13,induction,S,4
13,induction,N,4
14,induction,Hits,3
14,induction,FA,4
14,induction,Miss,1
14,induction,CR,0
14,induction,S,4
14,induction,N,4
15,induction,Hits,3
15,induction,FA,4
15,induction,Miss,1
15,induction,CR,0
15,induction,S,4
15,induction,N,4
16,induction,Hits,4
16,induction,FA,1
16,induction,Miss,0
16,induction,CR,3
16,induction,S,4
16,induction,N,4
17,induction,Hits,3
17,induction,FA,2
17,induction,Miss,1
17,induction,CR,2
17,induction,S,4
17,induction,N,4
18,induction,Hits,4
18,induction,FA,1
18,induction,Miss,0
18,induction,CR,3
18,induction,S,4
18,induction,N,4
19,induction,Hits,3
19,induction,FA,1
19,induction,Miss,1
19,induction,CR,3
19,induction,S,4
19,induction,N,4
20,induction,Hits,4
20,induction,FA,1
20,induction,Miss,0
20,induction,CR,3
20,induction,S,4
20,induction,N,4
21,induction,Hits,3
21,induction,FA,2
21,induction,Miss,1
21,induction,CR,2
21,induction,S,4
21,induction,N,4
22,induction,Hits,4
22,induction,FA,0
22,induction,Miss,0
22,induction,CR,4
22,induction,S,4
22,induction,N,4
23,induction,Hits,3
23,induction,FA,4
23,induction,Miss,1
23,induction,CR,0
23,induction,S,4
23,induction,N,4
24,induction,Hits,4
24,induction,FA,4
24,induction,Miss,0
24,induction,CR,0
24,induction,S,4
24,induction,N,4
25,induction,Hits,4
25,induction,FA,2
25,induction,Miss,0
25,induction,CR,2
25,induction,S,4
25,induction,N,4
26,induction,Hits,4
26,induction,FA,4
26,induction,Miss,0
26,induction,CR,0
26,induction,S,4
26,induction,N,4
27,induction,Hits,4
27,induction,FA,4
27,induction,Miss,0
27,induction,CR,0
27,induction,S,4
27,induction,N,4
28,induction,Hits,4
28,induction,FA,4
28,induction,Miss,0
28,induction,CR,0
28,induction,S,4
28,induction,N,4
29,induction,Hits,4
29,induction,FA,4
29,induction,Miss,0
29,induction,CR,0
29,induction,S,4
29,induction,N,4
30,induction,Hits,4
30,induction,FA,0
30,induction,Miss,0
30,induction,CR,4
30,induction,S,4
30,induction,N,4
31,induction,Hits,2
31,induction,FA,3
31,induction,Miss,2
31,induction,CR,1
31,induction,S,4
31,induction,N,4
32,induction,Hits,4
32,induction,FA,0
32,induction,Miss,0
32,induction,CR,4
32,induction,S,4
32,induction,N,4
33,induction,Hits,4
33,induction,FA,4
33,induction,Miss,0
33,induction,CR,0
33,induction,S,4
33,induction,N,4
