Hits,FA,Miss,CR,S,N,ID,group
3,1,1,3,4,4,1,induction
4,0,0,4,4,4,2,induction
4,4,0,0,4,4,3,induction
4,1,0,3,4,4,4,induction
4,3,0,1,4,4,5,induction
4,4,0,0,4,4,6,induction
4,1,0,3,4,4,7,induction
4,3,0,1,4,4,8,induction
4,0,0,4,4,4,9,induction
4,2,0,2,4,4,10,induction
3,2,1,2,4,4,11,induction
4,2,0,2,4,4,12,induction
4,0,0,4,4,4,13,induction
3,4,1,0,4,4,14,induction
3,4,1,0,4,4,15,induction
4,1,0,3,4,4,16,induction
3,2,1,2,4,4,17,induction
4,1,0,3,4,4,18,induction
3,1,1,3,4,4,19,induction
4,1,0,3,4,4,20,induction
3,2,1,2,4,4,21,induction
4,0,0,4,4,4,22,induction
3,4,1,0,4,4,23,induction
4,4,0,0,4,4,24,induction
4,2,0,2,4,4,25,induction
4,4,0,0,4,4,26,induction
4,4,0,0,4,4,27,induction
4,4,0,0,4,4,28,induction
4,4,0,0,4,4,29,induction
4,0,0,4,4,4,30,induction
2,3,2,1,4,4,31,induction
4,0,0,4,4,4,32,induction
4,4,0,0,4,4,33,induction
2,3,2,1,4,4,34,induction
4,0,0,4,4,4,35,induction
4,3,0,1,4,4,36,induction
4,4,0,0,4,4,37,induction
4,1,0,3,4,4,38,induction
4,1,0,3,4,4,39,induction
4,4,0,0,4,4,40,induction
4,1,0,3,4,4,1,deduction
4,0,0,4,4,4,2,deduction
4,0,0,4,4,4,3,deduction
4,0,0,4,4,4,4,deduction
4,0,0,4,4,4,5,deduction
4,0,0,4,4,4,6,deduction
4,0,0,4,4,4,7,deduction
4,0,0,4,4,4,8,deduction
4,0,0,4,4,4,9,deduction
4,0,0,4,4,4,10,deduction
4,2,0,2,4,4,11,deduction
2,2,2,2,4,4,12,deduction
4,0,0,4,4,4,13,deduction
4,0,0,4,4,4,14,deduction
3,2,1,2,4,4,15,deduction
3,0,1,4,4,4,16,deduction
3,1,1,3,4,4,17,deduction
2,1,2,3,4,4,18,deduction
4,4,0,0,4,4,19,deduction
4,2,0,2,4,4,20,deduction
4,1,0,3,4,4,21,deduction
2,0,2,4,4,4,22,deduction
4,0,0,4,4,4,23,deduction
3,0,1,4,4,4,24,deduction
4,0,0,4,4,4,25,deduction
3,0,1,4,4,4,26,deduction
4,0,0,4,4,4,27,deduction
3,4,1,0,4,4,28,deduction
1,3,3,1,4,4,29,deduction
4,4,0,0,4,4,30,deduction
4,4,0,0,4,4,31,deduction
3,1,1,3,4,4,32,deduction
3,1,1,3,4,4,33,deduction
4,0,0,4,4,4,34,deduction
3,0,1,4,4,4,35,deduction
4,0,0,4,4,4,36,deduction
4,0,0,4,4,4,37,deduction
4,0,0,4,4,4,38,deduction
4,0,0,4,4,4,39,deduction
4,2,0,2,4,4,40,deduction
