Gender,Words Per Day
Man,23871
Man,5180
Man,9951
Man,12460
Man,17155
Man,10344
Man,9811
Man,12387
Man,29920
Man,21791
Man,9789
Man,31127
Man,8572
Man,6942
Man,2539
Man,36345
Man,6858
Man,24024
Man,5488
Man,9960
Man,11118
Man,4970
Man,10710
Man,15011
Man,1569
Man,23794
Man,23689
Man,11769
Man,26846
Man,17386
Man,7987
Man,25638
Man,695
Man,2366
Man,16075
Man,16789
Man,9308
Woman,16109
Woman,10592
Woman,24608
Woman,13739
Woman,22376
Woman,9351
Woman,7694
Woman,16812
Woman,21066
Woman,32291
Woman,12320
Woman,19839
Woman,22018
Woman,16624
Woman,5139
Woman,17384
Woman,17740
Woman,7309
Woman,14699
Woman,21450
Woman,14602
Woman,18360
Woman,12345
Woman,17379
Woman,14394
Woman,11907
Woman,8319
Woman,16046
Woman,5112
Woman,8034
Woman,7845
Woman,7796
Woman,20910
Woman,8756
Woman,5683
Woman,8372
Woman,17191
Woman,8380
Woman,16741
Woman,16417
Woman,2363
Woman,24349
