id,condition,angle,rt,accuracy,trial
1,egocentric,-45,1660,1,0
1,egocentric,-135,2717,1,1
1,egocentric,180,1734,1,2
1,egocentric,90,1329,1,3
1,egocentric,-135,1435,1,4
1,egocentric,90,1420,1,5
1,egocentric,-135,1387,1,6
1,egocentric,45,1319,1,7
1,egocentric,-90,1687,1,8
1,egocentric,-90,1302,1,9
1,egocentric,45,1567,0,10
1,egocentric,90,1184,1,11
1,egocentric,-135,928,0,12
1,egocentric,180,1017,0,13
1,egocentric,135,1138,0,14
1,egocentric,-45,1230,1,15
1,egocentric,90,1128,1,16
1,egocentric,180,1896,1,17
1,egocentric,45,1247,1,18
1,egocentric,0,853,1,19
1,egocentric,180,1495,1,20
1,egocentric,45,979,1,21
1,egocentric,-90,1046,1,22
1,egocentric,-45,937,1,23
1,egocentric,180,1580,0,24
1,egocentric,135,979,1,25
1,egocentric,0,1046,1,26
1,egocentric,45,945,1,27
1,egocentric,135,1078,1,28
1,egocentric,-45,1066,1,29
1,egocentric,-45,971,1,30
1,egocentric,-90,1188,1,31
1,egocentric,0,882,1,32
1,egocentric,-45,1114,1,33
1,egocentric,-90,868,1,34
1,egocentric,-135,1019,1,35
1,egocentric,0,891,1,36
1,egocentric,135,1169,0,37
1,egocentric,180,796,0,38
1,egocentric,45,696,1,39
1,egocentric,45,749,1,40
1,egocentric,135,887,1,41
1,egocentric,90,897,0,42
1,egocentric,-90,797,1,43
1,egocentric,0,619,1,44
1,egocentric,-90,763,1,45
1,egocentric,90,934,1,46
1,egocentric,180,617,0,47
1,egocentric,45,2601,0,48
1,egocentric,90,1306,1,49
1,egocentric,90,1319,1,50
1,egocentric,180,2170,1,51
1,egocentric,-45,2863,1,52
1,egocentric,90,1396,1,53
1,egocentric,180,2952,1,54
1,egocentric,135,2865,1,55
1,egocentric,-90,1529,1,56
1,egocentric,135,4030,1,57
1,egocentric,-45,1164,1,58
1,egocentric,180,1262,1,59
1,egocentric,-135,1195,1,60
1,egocentric,0,852,1,61
1,egocentric,90,781,1,62
1,egocentric,-90,1096,0,63
1,egocentric,45,751,1,64
1,egocentric,-135,829,0,65
1,egocentric,135,879,1,66
1,egocentric,-135,1250,1,67
1,egocentric,0,1101,1,68
1,egocentric,-45,1586,1,69
1,egocentric,-135,1805,1,70
1,egocentric,-45,802,1,71
1,egocentric,0,1467,1,72
1,egocentric,45,1003,1,73
1,egocentric,-90,1134,1,74
1,egocentric,0,933,1,75
1,egocentric,-45,781,1,76
1,egocentric,45,803,1,77
1,egocentric,-45,783,1,78
1,egocentric,0,652,1,79
1,egocentric,0,670,1,80
1,egocentric,0,584,1,81
1,egocentric,-90,829,1,82
1,egocentric,135,1114,1,83
1,egocentric,-90,1037,1,84
1,egocentric,45,781,1,85
1,egocentric,-135,862,1,86
1,egocentric,180,1249,1,87
1,egocentric,135,1064,0,88
1,egocentric,90,797,1,89
1,egocentric,0,747,1,90
1,egocentric,135,996,1,91
1,egocentric,135,932,1,92
1,egocentric,180,929,0,93
1,egocentric,-135,1002,1,94
1,egocentric,-90,899,1,95
1,egocentric,90,784,1,96
1,egocentric,180,2395,1,97
1,egocentric,-45,1331,1,98
1,egocentric,0,3434,1,99
1,egocentric,-135,1823,1,100
1,egocentric,90,1834,1,101
1,egocentric,135,3397,1,102
1,egocentric,-135,2587,1,103
1,egocentric,90,1052,1,104
1,egocentric,45,730,1,105
1,egocentric,45,1488,1,106
1,egocentric,-135,1783,1,107
1,egocentric,135,1371,1,108
1,egocentric,-90,865,1,109
1,egocentric,180,1389,1,110
1,allocentric,135,1057,1,0
1,allocentric,0,948,1,1
1,allocentric,0,857,1,2
1,allocentric,-90,1636,1,3
1,allocentric,90,1208,1,4
1,allocentric,-90,949,1,5
1,allocentric,-90,1350,1,6
1,allocentric,-135,1817,1,7
1,allocentric,180,2067,1,8
1,allocentric,90,1322,1,9
1,allocentric,-45,1519,1,10
1,allocentric,0,1615,1,11
1,allocentric,0,566,1,12
1,allocentric,135,1498,1,13
1,allocentric,-90,1539,1,14
1,allocentric,45,1218,1,15
1,allocentric,0,1287,1,16
1,allocentric,90,1222,1,17
1,allocentric,90,2919,1,18
1,allocentric,45,1415,1,19
1,allocentric,0,1247,1,20
1,allocentric,-90,2508,1,21
1,allocentric,0,1135,1,22
1,allocentric,180,1716,1,23
1,allocentric,45,1097,1,24
1,allocentric,-135,1238,0,25
1,allocentric,-45,1353,1,26
1,allocentric,135,1899,1,27
1,allocentric,135,2204,1,28
1,allocentric,180,4737,1,29
1,allocentric,135,1415,1,30
1,allocentric,45,2239,1,31
1,allocentric,180,2337,1,32
1,allocentric,-135,1116,1,33
1,allocentric,-90,1031,1,34
1,allocentric,45,1016,1,35
1,allocentric,-135,1350,1,36
1,allocentric,180,1204,1,37
1,allocentric,180,3050,1,38
1,allocentric,0,1149,1,39
1,allocentric,-45,973,1,40
1,allocentric,90,1300,1,41
1,allocentric,-45,1053,1,42
1,allocentric,-90,1265,1,43
1,allocentric,45,1498,1,44
1,allocentric,180,1249,1,45
1,allocentric,-135,1369,1,46
1,allocentric,45,2320,1,47
1,allocentric,-135,1273,1,48
1,allocentric,135,1069,1,49
1,allocentric,-45,1232,1,50
1,allocentric,-90,1353,1,51
1,allocentric,0,852,1,52
1,allocentric,90,1055,1,53
1,allocentric,-90,1014,1,54
1,allocentric,0,733,1,55
1,allocentric,90,953,1,56
1,allocentric,135,1814,1,57
1,allocentric,-45,1020,1,58
1,allocentric,90,1016,1,59
1,allocentric,-90,855,1,60
1,allocentric,-135,1037,1,61
1,allocentric,-90,747,1,62
1,allocentric,-135,1024,1,63
1,allocentric,-45,564,1,64
1,allocentric,180,1281,1,65
1,allocentric,-90,1230,1,66
1,allocentric,-45,698,1,67
1,allocentric,135,783,0,68
1,allocentric,135,965,1,69
1,allocentric,180,2071,1,70
1,allocentric,-45,1570,1,71
1,allocentric,-45,1588,1,72
