subject,trial_num,condition,signal_present,correct,rt
2,2,bias,0,0,1.167
2,3,bias,1,1,0.598
2,4,bias,1,1,0.375
2,5,bias,0,1,0.454
2,6,bias,1,1,0.4100000000002328
2,7,bias,1,1,0.3700000000002327
2,8,bias,1,1,0.559
2,9,bias,1,1,0.3250000000002328
2,10,bias,1,1,0.313
2,11,bias,0,1,0.27999999999976716
2,12,bias,0,1,0.353
2,13,bias,0,1,0.55
2,14,bias,1,0,0.9460000000002328
2,15,bias,1,1,0.73
2,16,bias,1,1,0.331
2,17,bias,1,1,0.353
2,18,bias,0,1,0.981
2,19,bias,0,1,0.502
2,20,bias,0,1,0.582
2,21,bias,0,1,0.313
2,22,bias,0,1,0.339
2,23,bias,0,1,0.407
2,24,bias,1,1,0.3760000000002328
2,1,no_bias,0,1,0.862
2,2,no_bias,1,1,0.419
2,3,no_bias,1,1,0.546
2,4,no_bias,0,1,0.34
2,5,no_bias,1,0,0.596
2,6,no_bias,0,1,0.344
2,7,no_bias,0,1,0.315
2,8,no_bias,1,1,0.321
2,9,no_bias,1,1,0.335
2,10,no_bias,0,1,0.337
2,11,no_bias,1,1,0.376
2,12,no_bias,0,1,1.4539999999997673
2,13,no_bias,1,1,0.332
2,14,no_bias,1,1,0.375
2,15,no_bias,1,1,0.581
2,16,no_bias,1,1,0.5989999999997672
2,17,no_bias,0,0,0.894
2,18,no_bias,0,1,0.9480000000002328
2,19,no_bias,0,1,0.688
2,20,no_bias,1,0,2.277
2,21,no_bias,0,1,0.4479999999997673
2,22,no_bias,0,1,0.33199999999976715
2,23,no_bias,1,1,0.266
2,24,no_bias,0,0,0.556
2,25,bias,0,1,1.759
2,26,bias,1,1,0.35200000000023285
2,27,bias,0,1,0.732
2,28,bias,1,0,1.867
2,29,bias,1,1,0.35399999999976717
2,30,bias,1,1,0.322
2,31,bias,0,1,0.3699999999997672
2,32,bias,1,1,1.129
2,33,bias,0,1,0.352
2,34,bias,0,1,0.446
2,35,bias,0,1,0.4330000000002327
2,36,bias,0,1,0.8610000000002328
2,37,bias,1,1,0.154
2,38,bias,0,1,1.06
2,39,bias,1,1,0.387
2,40,bias,0,1,0.615
2,42,bias,0,1,0.297
2,43,bias,0,1,0.761
2,44,bias,0,1,0.347
2,45,bias,1,1,0.35800000000023285
2,46,bias,1,1,1.0400000000002327
2,47,bias,1,1,0.632
2,48,bias,1,1,0.258
2,49,bias,1,0,2.975
2,52,bias,0,1,0.372
2,53,bias,0,1,0.372
2,54,bias,0,1,0.428
2,55,bias,1,1,0.4079999999997672
2,56,bias,1,1,1.446
2,57,bias,1,1,0.407
2,58,bias,1,1,0.462
2,59,bias,0,1,3.349
2,60,bias,0,1,2.231625
2,61,bias,1,1,0.4310000000002327
2,62,bias,1,1,0.3660000000002327
2,63,bias,1,0,0.393
2,64,bias,1,0,1.103
2,65,bias,1,1,0.496
2,66,bias,1,0,0.846
2,67,bias,0,1,0.946
2,68,bias,0,1,0.403
2,69,bias,0,1,0.321
2,71,bias,0,1,0.307
2,72,bias,1,1,0.3989999999997672
2,25,no_bias,0,1,0.828
2,26,no_bias,0,1,0.7510000000002328
2,27,no_bias,1,0,0.8609999999997672
2,28,no_bias,0,1,0.55
2,29,no_bias,1,1,0.52
2,30,no_bias,1,0,0.4920000000002327
2,31,no_bias,0,1,0.347
2,32,no_bias,0,0,0.5740000000002329
2,33,no_bias,0,1,0.524
2,34,no_bias,0,1,0.471
2,35,no_bias,1,0,0.5539999999997671
2,36,no_bias,0,1,0.5299999999997672
2,37,no_bias,0,1,0.5429999999997672
2,38,no_bias,1,1,1.764
2,39,no_bias,1,0,0.382
2,40,no_bias,1,0,0.409
2,41,no_bias,1,0,0.619
2,42,no_bias,1,0,0.444
2,43,no_bias,0,1,0.26800000000023283
2,44,no_bias,1,0,0.343
2,45,no_bias,0,1,0.458
2,46,no_bias,0,1,0.33899999999976715
2,47,no_bias,1,1,0.106
2,48,no_bias,1,0,0.3130000000002328
2,73,bias,1,0,0.6230000000002328
2,75,bias,1,0,0.7940000000002329
2,76,bias,1,0,0.413
2,77,bias,1,1,0.844
2,78,bias,0,1,0.3650000000002327
2,79,bias,1,0,0.348
2,80,bias,1,1,0.433
2,81,bias,0,1,0.423
2,82,bias,0,1,0.396
2,83,bias,1,0,0.538
2,84,bias,0,1,0.783
2,85,bias,1,0,1.5458749999999708
2,86,bias,0,1,1.785
2,87,bias,1,0,0.7779999999997672
2,88,bias,0,1,0.845
2,89,bias,0,1,1.122
2,90,bias,0,1,1.943
2,91,bias,1,1,0.878
2,92,bias,1,0,0.7929999999997672
2,93,bias,0,1,0.8439999999997672
2,95,bias,1,0,0.725
2,96,bias,0,1,0.356
2,49,no_bias,0,1,1.399
2,50,no_bias,0,1,0.902
2,51,no_bias,1,0,0.372
2,52,no_bias,0,1,0.913
2,53,no_bias,1,0,0.7169999999997672
2,54,no_bias,1,1,0.36200000000023275
2,55,no_bias,1,0,0.607
2,56,no_bias,1,0,0.291
2,57,no_bias,0,1,0.359
2,58,no_bias,0,1,0.6880000000002329
2,59,no_bias,1,0,0.681
2,60,no_bias,0,1,0.6569999999997672
2,61,no_bias,1,1,0.5849999999997672
2,62,no_bias,0,1,0.704
2,63,no_bias,1,1,0.364
2,64,no_bias,0,1,0.392
2,65,no_bias,1,1,0.345
2,66,no_bias,1,0,0.101
2,67,no_bias,0,1,0.376
2,68,no_bias,1,0,0.38
2,69,no_bias,0,1,0.317
2,70,no_bias,1,0,0.432
2,71,no_bias,0,1,0.3919999999997672
2,72,no_bias,0,1,0.348
2,97,bias,1,0,1.07
2,98,bias,1,0,0.3660000000002327
2,99,bias,1,0,0.401
2,100,bias,1,0,0.339
2,101,bias,0,1,0.326
2,102,bias,1,0,0.243
2,103,bias,0,1,0.272
2,104,bias,0,1,0.34700000000023284
2,105,bias,0,1,0.3019999999997672
2,106,bias,1,0,0.316
2,107,bias,1,0,0.687
2,108,bias,0,0,0.902
2,109,bias,0,1,0.396
2,110,bias,1,0,0.435
2,111,bias,0,1,0.409
2,112,bias,1,0,0.35
2,113,bias,0,1,0.364
2,114,bias,0,1,0.636
2,115,bias,1,1,0.5170000000004656
2,116,bias,0,1,0.3220000000002328
2,117,bias,0,1,0.8610000000004656
2,118,bias,0,0,0.5269999999995343
2,119,bias,1,0,0.538
2,120,bias,1,0,1.619000000000233
2,73,no_bias,1,0,0.3209999999997672
2,74,no_bias,1,1,0.5550000000002329
2,75,no_bias,0,1,0.27599999999976715
2,76,no_bias,0,0,0.379
2,77,no_bias,0,1,0.28100000000046566
2,78,no_bias,1,0,0.345
2,79,no_bias,0,1,0.415
2,80,no_bias,1,1,0.257
2,81,no_bias,0,1,0.655
2,82,no_bias,0,1,0.395
2,83,no_bias,0,1,0.374
2,84,no_bias,1,0,0.605
2,85,no_bias,0,1,0.321
2,86,no_bias,1,1,0.528
2,87,no_bias,1,1,0.319
2,88,no_bias,0,1,0.68
2,89,no_bias,1,1,0.439
2,90,no_bias,0,1,0.843
2,91,no_bias,0,1,0.604
2,92,no_bias,1,1,0.514
2,93,no_bias,1,0,0.317
2,94,no_bias,1,0,0.808
2,95,no_bias,0,1,0.456
2,96,no_bias,1,1,0.243
2,97,no_bias,0,1,3.481
2,98,no_bias,1,1,0.29900000000046567
2,99,no_bias,1,0,1.111
2,100,no_bias,1,1,1.224
2,101,no_bias,0,1,0.998
2,102,no_bias,0,1,0.38
2,103,no_bias,1,0,0.712
2,104,no_bias,1,0,0.392
2,105,no_bias,0,1,0.352
2,106,no_bias,1,0,0.48
2,107,no_bias,1,1,0.601
2,108,no_bias,0,1,0.319
2,109,no_bias,1,1,0.275
2,110,no_bias,0,1,0.33400000000046565
2,111,no_bias,0,1,0.207
2,112,no_bias,1,1,0.337
2,113,no_bias,0,1,0.67
2,114,no_bias,0,1,0.617
2,115,no_bias,1,1,1.19
2,116,no_bias,0,1,0.529
2,117,no_bias,1,1,0.342
2,118,no_bias,0,0,1.035
2,119,no_bias,1,1,0.33099999999953433
2,120,no_bias,0,1,0.495
2,121,no_bias,1,1,0.765
2,122,no_bias,1,1,0.399
2,123,no_bias,0,1,0.34
2,124,no_bias,1,1,0.3189999999995343
2,125,no_bias,1,1,0.19
2,126,no_bias,1,1,0.314
2,127,no_bias,1,1,0.167
2,128,no_bias,0,1,0.462
2,129,no_bias,0,1,0.587
2,130,no_bias,0,0,0.55
2,131,no_bias,0,1,0.308
2,132,no_bias,0,1,0.164
2,133,no_bias,0,1,0.599
2,134,no_bias,1,1,0.687
2,135,no_bias,1,1,0.35599999999953436
2,136,no_bias,0,1,0.408
2,137,no_bias,0,1,1.1820000000004656
2,138,no_bias,0,1,0.33999999999953434
2,139,no_bias,1,1,0.27
2,140,no_bias,0,1,0.6959999999995343
2,141,no_bias,1,1,0.339
2,142,no_bias,0,1,0.3
2,143,no_bias,1,1,0.318
2,144,no_bias,1,1,0.367
2,122,bias,1,1,0.395
2,123,bias,1,1,0.333
2,124,bias,0,1,0.542
2,125,bias,1,1,0.182
2,126,bias,1,0,0.21900000000046568
2,127,bias,1,1,0.38899999999953433
2,128,bias,1,1,0.46
2,129,bias,0,1,0.389
2,130,bias,0,1,0.645
2,131,bias,0,1,1.029
2,132,bias,0,1,0.324
2,133,bias,0,1,0.364
2,134,bias,1,0,0.708
2,135,bias,0,1,0.652
2,136,bias,1,1,0.46
2,137,bias,0,1,1.108
2,139,bias,1,1,0.392
2,140,bias,0,1,0.36
2,141,bias,1,1,0.11599999999953434
2,142,bias,0,1,0.497
2,143,bias,0,1,0.585
2,144,bias,1,0,1.652
3,1,no_bias,0,1,2.5975
3,2,no_bias,1,0,0.7397999999523163
3,3,no_bias,1,0,0.2945
3,5,no_bias,0,1,0.5617999999523163
3,6,no_bias,0,1,0.46039999997615816
3,7,no_bias,0,1,0.3121999999284744
3,8,no_bias,0,1,0.48779999995231627
3,9,no_bias,0,1,0.3437000000476837
3,10,no_bias,1,0,0.35110000002384184
3,11,no_bias,0,1,0.5568999999761581
3,12,no_bias,0,1,0.8546999999284745
3,13,no_bias,1,1,0.8577000000476838
3,14,no_bias,0,0,1.8952000000476832
3,15,no_bias,0,1,0.4893000000715256
3,16,no_bias,0,1,0.3246000000238419
3,17,no_bias,1,1,0.6749000000953674
3,18,no_bias,1,1,0.7103000000715256
3,19,no_bias,0,1,1.5028000000715256
3,20,no_bias,1,1,0.3452999999523163
3,21,no_bias,1,1,0.13379999995231628
3,22,no_bias,1,1,0.3298000000715256
3,23,no_bias,1,1,0.5193999999761582
3,24,no_bias,1,1,0.5174000000953675
3,25,no_bias,0,1,2.5807999999523163
3,26,no_bias,0,1,0.5635
3,27,no_bias,0,1,0.3876000000238419
3,28,no_bias,1,0,0.4048000000715256
3,29,no_bias,0,1,0.6883000000715256
3,30,no_bias,0,1,0.48860000002384185
3,31,no_bias,1,1,1.2647000000476836
3,32,no_bias,1,1,0.7452000000476837
3,33,no_bias,1,1,0.930100000023842
3,34,no_bias,1,1,0.5259000000953674
3,35,no_bias,1,1,0.5306000000238419
3,36,no_bias,0,0,0.9477000000476836
3,37,no_bias,1,1,0.41160000002384184
3,38,no_bias,0,1,0.5512000000476838
3,39,no_bias,1,1,0.4133999999761581
3,40,no_bias,0,1,0.6285
3,41,no_bias,1,1,0.453
3,42,no_bias,0,1,0.6138999999761582
3,43,no_bias,1,1,1.2026999999284744
3,44,no_bias,0,1,1.1392000000476834
3,45,no_bias,1,1,0.20969999992847443
3,46,no_bias,0,1,0.3495
3,47,no_bias,1,1,0.29810000002384185
3,48,no_bias,0,1,0.5707999999523163
3,50,no_bias,1,1,1.2262000000476836
3,51,no_bias,1,1,0.7173999999761581
3,52,no_bias,1,1,1.0195
3,53,no_bias,1,1,0.9087000000476836
3,54,no_bias,0,1,1.1968999999761578
3,56,no_bias,1,1,0.4265
3,58,no_bias,0,1,0.629
3,59,no_bias,0,1,0.6456999999284744
3,60,no_bias,0,1,3.100899999976158
3,61,no_bias,1,1,0.8482999999523163
3,62,no_bias,1,1,1.3967999999523164
3,63,no_bias,1,0,2.4002999999523165
3,64,no_bias,1,0,0.7715
3,66,no_bias,0,1,0.6171000000238419
3,67,no_bias,0,1,0.7497999999523163
3,68,no_bias,1,0,2.714099999904633
3,69,no_bias,0,1,0.8492000000476837
3,71,no_bias,0,1,2.9027999999523164
3,1,bias,0,0,2.1293000000715256
3,2,bias,0,1,1.8305
3,4,bias,1,1,1.8665999999046328
3,5,bias,1,1,0.456
3,6,bias,0,0,0.8318999999761582
3,7,bias,0,0,1.0972000000476836
3,8,bias,0,1,1.1363999999761578
3,9,bias,0,1,1.3071999999284745
3,10,bias,1,1,1.088100000023842
3,11,bias,1,1,0.45639999997615815
3,12,bias,1,1,0.32440000009536746
3,13,bias,1,1,0.2617999999523163
3,14,bias,1,1,0.276
3,15,bias,0,1,0.795
3,16,bias,1,1,0.4331999999284744
3,17,bias,1,1,0.382
3,18,bias,0,0,0.4238999999761581
3,19,bias,0,1,0.5866000000238418
3,20,bias,0,1,0.395
3,21,bias,1,1,0.29260000002384184
3,22,bias,1,1,0.27220000004768374
3,23,bias,0,1,0.4355
