ID,condition,correct,RT
001,neutral,Y,1.186
001,congruent,Y,0.667
001,congruent,Y,0.614
001,neutral,Y,0.696
001,neutral,Y,0.752
001,incongruent,Y,0.864
001,congruent,Y,0.793
001,neutral,Y,0.662
001,neutral,Y,0.715
001,incongruent,Y,0.792
001,neutral,Y,0.739
001,congruent,Y,1.028
001,incongruent,Y,0.785
001,congruent,Y,0.789
001,neutral,N,0.898
001,neutral,Y,0.907
001,incongruent,Y,1.055
001,incongruent,Y,0.654
001,incongruent,Y,0.662
001,incongruent,Y,0.661
001,neutral,N,0.847
001,neutral,Y,0.811
001,congruent,Y,0.801
001,incongruent,Y,0.737
001,congruent,Y,1.007
001,neutral,Y,1.016
001,neutral,Y,0.745
001,congruent,Y,0.923
001,congruent,Y,0.938
001,neutral,Y,0.747
001,incongruent,Y,1.106
001,incongruent,Y,1.191
001,congruent,Y,0.67
001,congruent,Y,0.967
001,neutral,Y,0.835
001,neutral,Y,0.796
001,congruent,Y,0.889
001,congruent,Y,0.788
001,congruent,Y,0.627
001,incongruent,N,0.926
001,neutral,N,0.778
001,neutral,Y,0.823
001,neutral,Y,0.702
001,neutral,Y,0.622
001,incongruent,Y,1.036
001,incongruent,Y,0.552
001,neutral,Y,0.891
001,incongruent,Y,0.853
001,congruent,Y,1.052
001,congruent,Y,0.637
001,congruent,Y,0.918
001,incongruent,Y,0.924
001,neutral,Y,0.835
001,neutral,Y,0.709
001,incongruent,Y,0.825
001,congruent,Y,0.727
001,congruent,Y,0.743
001,incongruent,N,0
001,congruent,Y,0.697
001,congruent,Y,0.689
001,incongruent,Y,0.87
001,congruent,Y,0.695
001,neutral,Y,0.851
001,incongruent,Y,1.148
001,neutral,Y,0.921
001,incongruent,Y,1.23
001,congruent,Y,0.804
001,incongruent,Y,0.985
001,incongruent,Y,1.022
001,neutral,N,0.895
001,neutral,Y,0.695
001,congruent,Y,0.931
001,incongruent,Y,1.093
001,neutral,Y,0.744
001,congruent,Y,0.953
001,congruent,Y,0.923
001,incongruent,Y,1.127
001,neutral,Y,0.873
001,incongruent,Y,0.945
001,incongruent,Y,1.219
001,incongruent,Y,1.078
001,neutral,Y,0.691
001,neutral,Y,0.808
001,congruent,Y,0.935
001,neutral,Y,0.752
001,congruent,Y,0.801
001,neutral,Y,1
001,incongruent,Y,0.692
001,neutral,Y,0.832
001,incongruent,N,0.974
001,congruent,Y,0.768
001,congruent,Y,0.624
001,incongruent,Y,1.036
001,congruent,Y,0.761
001,congruent,Y,0.635
001,incongruent,N,0.922
001,congruent,Y,0.78
001,congruent,Y,0.694
001,incongruent,Y,0.979
001,congruent,Y,0.911
001,congruent,Y,0.787
001,congruent,Y,0.841
001,neutral,Y,0.878
001,neutral,Y,0.714
001,congruent,Y,0.869
001,neutral,Y,0.801
001,neutral,Y,1.05
001,neutral,Y,1.031
001,incongruent,N,1.048
001,neutral,Y,0.792
001,incongruent,Y,1.158
001,congruent,Y,0.757
001,neutral,Y,0.91
001,congruent,Y,0.666
001,neutral,Y,1.067
001,incongruent,N,0
001,neutral,Y,1.089
001,congruent,Y,0.653
001,congruent,Y,0.642
001,incongruent,Y,0.961
002,neutral,Y,0.888
002,congruent,Y,0.597
002,incongruent,Y,1.428
002,neutral,N,0.87
002,incongruent,N,0
002,neutral,Y,0.888
002,incongruent,N,0.742
002,congruent,Y,1.511
002,incongruent,Y,0.717
002,neutral,Y,0.564
002,incongruent,Y,1.102
002,incongruent,Y,0.836
002,incongruent,Y,0.802
002,neutral,Y,0.478
002,neutral,Y,0.777
002,congruent,Y,1.133
002,incongruent,Y,0.957
002,congruent,Y,0.833
002,congruent,Y,0.773
002,neutral,N,1.005
002,congruent,Y,0.954
002,incongruent,Y,1.212
002,neutral,Y,0.801
002,neutral,Y,0.647
002,neutral,Y,0.734
002,congruent,Y,0.862
002,neutral,Y,0.638
002,incongruent,Y,1.212
002,congruent,Y,0.793
002,neutral,Y,0.927
002,congruent,Y,0.792
002,incongruent,Y,1.087
002,neutral,Y,0.942
002,congruent,Y,0.756
002,congruent,Y,0.827
002,congruent,Y,0.774
002,congruent,Y,0.655
002,incongruent,Y,1.009
002,incongruent,Y,0.993
002,incongruent,Y,0.786
002,neutral,Y,0.987
002,congruent,Y,0.682
002,incongruent,N,0
002,incongruent,Y,0.898
002,neutral,Y,0.668
002,congruent,Y,0.685
002,congruent,Y,0.896
002,congruent,Y,1.76
002,neutral,Y,0.827
002,congruent,Y,0.776
002,incongruent,Y,0.952
002,congruent,Y,0.706
002,congruent,N,0
002,congruent,Y,0.804
002,incongruent,Y,0.934
002,congruent,Y,1.258
002,neutral,N,0
002,congruent,Y,0.638
002,congruent,Y,1.449
002,congruent,Y,0.635
002,incongruent,Y,1.339
002,neutral,Y,1.908
002,neutral,N,0.635
002,congruent,Y,1.358
002,neutral,Y,1.236
002,incongruent,N,0.812
002,incongruent,N,1.57
002,incongruent,N,0
002,congruent,Y,0.871
002,neutral,Y,1.356
002,congruent,N,0
002,incongruent,N,1.027
002,incongruent,N,0
002,incongruent,N,0
002,incongruent,N,0.88
002,congruent,Y,0.869
002,neutral,Y,0.778
002,neutral,Y,1.006
002,incongruent,N,0
002,incongruent,Y,0.917
002,neutral,N,0
002,neutral,Y,0.998
002,incongruent,Y,1.199
002,neutral,Y,1.051
002,congruent,Y,0.716
002,congruent,Y,1.789
002,neutral,N,0
002,neutral,Y,0.858
002,neutral,N,0
002,congruent,N,0.727
002,congruent,Y,0.629
002,neutral,Y,1.31
002,congruent,N,0
002,congruent,N,0
002,incongruent,Y,1.082
002,neutral,Y,1.164
002,congruent,Y,0.725
002,incongruent,N,0
002,congruent,Y,0.756
002,neutral,Y,0.919
002,incongruent,N,0
