cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,left,0,0,0,4,,,,,0.0040327011000727,1.0040327011000727,42.5831651499999,None,42.718603712000004,None,43.70090897099999,None,47.70943389899992,None,47.70943389899992,None,j,0.8851791140000387,47.70943389899992,None,48.63673190499992,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,0,1,1,0,,,,,0.01525294110001596,1.015252941100016,50.121994625999946,None,50.93773754799997,None,51.938949487999935,None,55.94398979499999,None,55.94398979499999,None,f,0.7785413270000845,55.94398979499999,None,56.75796826499993,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,0,2,2,5,,,,,0.015421820099959405,1.0154218200999594,58.26046283799997,None,58.628460780999944,None,59.626153338999984,None,64.63386645199989,None,64.63386645199989,None,j,0.6727146859999493,64.63386645199989,None,65.34450961099992,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,right,0,3,3,2,,,,,0.014866159099824472,1.0148661590998245,66.83256365499994,None,68.11368642299999,None,69.06422944499991,None,72.47299948399996,None,72.47299948399996,None,j,0.8814155699999446,72.47299948399996,None,73.39917337499992,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,left,0,4,4,3,,,,,0.014914441100017939,1.014914441100018,74.89901629999997,None,75.25410645,None,76.24984495499996,None,81.25618137699996,None,81.25618137699996,None,j,1.3382762950000142,81.25618137699996,None,82.63657863799995,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,0,5,5,1,,,,,0.015682895099985217,1.0156828950999852,84.12237387099992,None,84.93892129799997,None,85.93726143999993,None,89.94002565599999,None,89.94002565599999,None,j,1.0625663710000026,89.94002565599999,None,91.04048661699994,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.54026313999998,None,space,2.374246317000029,91.54026313999998,None,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,0,0,23,0.006944896100208098,1.006944896100208,94.94139335499995,None,96.14333911899996,None,97.1425570539999,None,100.54635810599996,None,100.54635810599996,None,j,0.8242111529999647,100.54635810599996,None,101.39621112199995,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,1,1,52,0.014980710100076067,1.014980710100076,102.89525615699995,None,103.69788515799996,None,104.69648421699992,None,109.70016498299992,None,109.70016498299992,None,f,0.9583747470001072,109.70016498299992,None,110.6999104969999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,2,2,29,0.015324687100019219,1.0153246871000192,112.18270079799993,None,113.38544330999991,None,114.38405315399996,None,118.38750075299993,None,118.38750075299993,None,j,0.8871335149999595,118.38750075299993,None,119.30590121799992,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,3,3,62,0.014924303099860481,1.0149243030998605,120.8035004809999,None,122.00554298199995,None,123.00519055099994,None,128.010197168,None,128.010197168,None,j,1.2323268799999596,128.010197168,None,129.2767961699999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,4,4,64,0.015355969099800859,1.0153559690998009,130.7752896149999,None,130.87743547999992,None,131.8758005379999,None,136.879342823,None,136.879342823,None,j,1.3791126390000272,136.879342823,None,138.28035845499994,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,5,5,58,0.015356396099832637,1.0153563960998326,139.77959416600004,None,140.98221181199995,None,141.98020836199987,None,145.384392091,None,145.384392091,None,None,,145.384392091,None,146.89969905299984,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,6,6,15,0.015690258099994026,1.015690258099994,148.36701578600002,None,149.183590752,None,150.18440006499998,None,153.58759087199985,None,153.58759087199985,None,f,0.822891201000175,153.58759087199985,None,154.453368372,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,7,7,69,0.015597889100263274,1.0155978891002633,155.93688986799987,None,156.739377923,None,157.737924657,None,162.24456959099996,None,162.24456959099996,None,j,0.733929198999931,162.24456959099996,None,163.02381017999994,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,8,8,0,0.015125923099958527,1.0151259230999585,164.50833163100003,None,165.31192921700006,None,166.30947672299988,None,170.81290514699992,None,170.81290514699992,None,f,0.8055872850000014,170.81290514699992,None,171.64560040799995,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,9,9,9,0.015693394100026126,1.0156933941000261,173.12876229200003,None,173.93126520299995,None,174.9293548249999,None,178.332893679,None,178.332893679,None,f,1.1417450849999113,178.332893679,None,179.51823936699986,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,10,10,6,0.015323453100108964,1.015323453100109,181.01570739400006,None,182.21823312999993,None,183.21668693899994,None,187.22044787099992,None,187.22044787099992,None,f,0.9262072030001036,187.22044787099992,None,188.17267289699987,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,11,11,50,0.015352404099985506,1.0153524040999855,189.66940525799998,None,190.87172200099997,None,191.87105731199983,None,196.875131936,None,196.875131936,None,j,0.8713565680000102,196.875131936,None,197.79221627000004,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,12,12,74,0.015306456100006471,1.0153064561000065,199.29056032200003,None,200.09271898600002,None,201.09196658500002,None,204.4946783879999,None,204.4946783879999,None,j,0.9959443719999399,204.4946783879999,None,205.5271550619999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,13,13,31,0.015661588100101653,1.0156615881001017,207.01198481699987,None,207.1129564869999,None,208.1120760959999,None,213.1160732059999,None,213.1160732059999,None,j,0.6785442739999326,213.1160732059999,None,213.81684010900005,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,right,,,,,0,14,14,33,0.015324624100003348,1.0153246241000033,215.315160731,None,215.66744850299995,None,216.66596482600005,None,221.17081971200002,None,221.17081971200002,None,j,1.0157437510001728,221.17081971200002,None,222.21860913199987,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,15,15,3,0.015319250099992132,1.0153192500999921,223.70278874899998,None,224.05449538300002,None,225.0531101989999,None,229.55707483999993,None,229.55707483999993,None,f,0.6295738900000742,229.55707483999993,None,230.22252910099985,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,16,16,56,0.015270914099801303,1.0152709140998013,231.70651057899988,None,232.508073179,None,233.50715571600006,None,238.51192610500004,None,238.51192610500004,None,j,0.7786809379999795,238.51192610500004,None,239.3267231839999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,17,17,20,0.015352671100117732,1.0153526711001177,240.81032416699998,None,242.01321774899986,None,243.0116466579999,None,248.01620168099987,None,248.01620168099987,None,j,0.6022835199999008,248.01620168099987,None,248.665045416,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,18,18,4,0.015319929100087393,1.0153199291000874,250.14810216499984,None,250.25040588399986,None,251.249319398,None,254.65230458300005,None,254.65230458300005,None,f,1.2622835509998822,254.65230458300005,None,255.95231586199986,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,19,19,71,0.015351572099916666,1.0153515720999167,257.4516828509999,None,257.80337908900003,None,258.802471267,None,262.8063280759999,None,262.8063280759999,None,j,0.8442001959999743,262.8063280759999,None,263.67172565,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,20,20,12,0.015328856100040866,1.0153288561000409,265.15524487799996,None,265.50775964699994,None,266.5068150139999,None,271.010335715,None,271.010335715,None,j,0.8242381380000552,271.010335715,None,271.8756063719999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,21,21,41,0.015122876100122085,1.015122876100122,273.359224163,None,274.16104560099996,None,275.16020141699994,None,279.6640321849999,None,279.6640321849999,None,j,0.8585876719998851,279.6640321849999,None,280.562910301,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,22,22,19,0.015326756099966587,1.0153267560999666,282.046625628,None,283.249003817,None,284.2478209249999,None,289.2521426469999,None,289.2521426469999,None,j,0.73435070000005,289.2521426469999,None,290.036419981,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,23,23,76,0.015323916100214774,1.0153239161002148,291.53429888699986,None,291.88583628000004,None,292.88527726899986,None,296.2886132289999,None,296.2886132289999,None,j,0.9779655820000244,296.2886132289999,None,297.30424881500005,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,24,24,54,0.015317013100002441,1.0153170131000024,298.78773949000004,None,299.14028567599996,None,300.138751244,None,303.54238787299994,None,303.54238787299994,None,j,1.2922858619999715,303.54238787299994,None,304.874925725,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,25,25,25,0.015347883099593673,1.0153478830995937,306.358046984,None,306.71039608299986,None,307.708797895,None,312.71321230399997,None,312.71321230399997,None,j,0.7773790440000994,312.71321230399997,None,313.52864487,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,26,26,42,0.015367163099881509,1.0153671630998815,315.01213493299986,None,316.21404340499987,None,317.213546501,None,321.21724826,None,321.21724826,None,f,1.1613657850000436,321.21724826,None,322.403147011,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,27,27,17,0.01533081510001466,1.0153308151000147,323.9002937639999,None,324.00205007099987,None,325.000558654,None,329.5047675889999,None,329.5047675889999,None,j,0.657835698000099,329.5047675889999,None,330.2039036289999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,28,28,63,0.015314338099869929,1.01531433809987,331.686661202,None,332.8887374069999,None,333.887888183,None,337.29160892799985,None,337.29160892799985,None,j,1.0309189580000293,337.29160892799985,None,338.35806185900003,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,29,29,68,0.015328692099956243,1.0153286920999562,339.85742735899987,None,340.2088071679999,None,341.2084932439999,None,345.71219662299984,None,345.71219662299984,None,f,0.8664039489999595,345.71219662299984,None,346.610821504,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
