cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,right,0,0,0,5,,,,,0.00503160001244396,1.005031600012444,88.45301939995261,None,89.75786719995085,None,90.6807963999454,None,95.20652069995413,None,95.20652069995413,None,f,0.7613215000019409,95.20652069995413,None,96.02556869998807,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
left,right,0,1,1,2,,,,,0.010260450013447553,1.0102604500134476,97.51306129997829,None,97.86668889998691,None,98.86439679999603,None,103.3681620999705,None,103.3681620999705,None,f,0.8240392999723554,103.3681620999705,None,104.21550209994894,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
none,left,0,2,2,4,,,,,0.012680949992500246,1.0126809499925002,105.70965079998132,None,106.91405479999958,None,107.91426999995019,None,112.91817139997147,None,112.91817139997147,None,j,0.6685986000229605,112.91817139997147,None,113.60741239995696,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
right,left,0,3,3,3,,,,,0.012231850007083267,1.0122318500070833,115.09298119996674,None,115.19713369995588,None,116.19741839997005,None,120.70125679997727,None,120.70125679997727,None,f,0.8489373999764211,120.70125679997727,None,121.58865299995523,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
right,right,0,4,4,1,,,,,0.012811149994377047,1.012811149994377,123.07570489996579,None,123.43278179998742,None,124.43067309999606,None,127.83168289996684,None,127.83168289996684,None,f,0.6638492000056431,127.83168289996684,None,128.52451519999886,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
left,left,0,5,5,0,,,,,0.012769649911206216,1.0127696499112062,130.00904759997502,None,131.21384769998258,None,132.2138504999457,None,136.21471429994563,None,136.21471429994563,None,j,1.0188078999635763,136.21471429994563,None,137.2491065999493,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.76390919997357,None,space,113.71830869995756,137.76390919997357,None,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
right,right,,,,,0,0,0,30,0.005053100001532584,1.0050531000015326,252.50033129996154,None,252.86573979997775,None,253.86283589998493,None,257.2665866999887,None,257.2665866999887,None,j,0.4400558000197634,257.2665866999887,None,257.74156669998774,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
none,left,,,,,0,1,1,42,0.011282449995633215,1.0112824499956332,259.22571919998154,None,259.32996279996587,None,260.3293469999917,None,264.830547199992,None,264.830547199992,None,f,0.7903428999707103,264.830547199992,None,265.64954319997923,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
none,right,,,,,0,2,2,78,0.012641050037927926,1.012641050037928,267.1423912999453,None,267.2462510999758,None,268.2459599999711,None,272.2475741999806,None,272.2475741999806,None,j,0.5165028999908827,272.2475741999806,None,272.7893366999924,None,,,,,,,VPN02,2022_Mar_01_2208,rdk-discrimination,2021.2.3,60.03269378841237,
