trial,ID,cue,direction,response,rt,choice,correct,condition,mean_C,sd_C,trial_type
1,chch04,left,left,0,0.3984758740043617,left,1,valid,0.7345113326619624,0.2437698370620411,OK
2,chch04,left,left,0,0.47943379100615857,left,1,valid,0.7345113326619624,0.2437698370620411,OK
3,chch04,left,left,1,0.5911643740037107,right,0,valid,0.7345113326619624,0.2437698370620411,OK
4,chch04,right,left,0,0.44720166600018274,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
5,chch04,none,left,0,0.4702366659985273,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
6,chch04,left,left,0,0.5163034990036977,left,1,valid,0.7345113326619624,0.2437698370620411,OK
7,chch04,right,left,0,0.49795095800072886,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
8,chch04,left,left,0,0.5254715410046629,left,1,valid,0.7345113326619624,0.2437698370620411,OK
9,chch04,none,left,0,0.4937032489979174,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
10,chch04,none,right,0,0.4355022500021733,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
11,chch04,left,left,0,0.6299002910018316,left,1,valid,0.7345113326619624,0.2437698370620411,OK
12,chch04,left,left,0,0.4049147490004543,left,1,valid,0.7345113326619624,0.2437698370620411,OK
13,chch04,none,right,1,0.6957283329975326,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
14,chch04,none,left,0,0.4181991250006831,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
15,chch04,right,right,1,0.4780652069966891,right,1,valid,0.7345113326619624,0.2437698370620411,OK
16,chch04,none,left,0,0.46305849900090834,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
17,chch04,none,left,0,0.4921101660002023,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
18,chch04,none,right,0,0.4564954990055412,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
19,chch04,left,right,1,0.5838911249957164,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
20,chch04,right,left,1,0.5413540820009075,right,0,invalid,0.7537437478937564,0.24844249026586113,OK
21,chch04,right,right,1,0.5193080829994869,right,1,valid,0.7345113326619624,0.2437698370620411,OK
22,chch04,left,left,1,0.5690779159995145,right,0,valid,0.7345113326619624,0.2437698370620411,OK
23,chch04,left,right,1,0.5245002490046318,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
24,chch04,right,right,1,0.5617350410029758,right,1,valid,0.7345113326619624,0.2437698370620411,OK
25,chch04,none,right,1,0.6387828329970944,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
26,chch04,none,left,0,0.4536304989960626,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
27,chch04,none,right,1,0.5311515409994172,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
28,chch04,none,right,1,0.6859762910025893,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
29,chch04,left,left,0,0.5363560409969068,left,1,valid,0.7345113326619624,0.2437698370620411,OK
30,chch04,left,left,1,0.69795212399913,right,0,valid,0.7345113326619624,0.2437698370620411,OK
31,chch04,left,left,0,0.9884854990013991,left,1,valid,0.7345113326619624,0.2437698370620411,OK
32,chch04,none,right,1,0.5518122079956811,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
33,chch04,right,right,1,0.6297970830055419,right,1,valid,0.7345113326619624,0.2437698370620411,OK
34,chch04,right,right,0,0.649018916003115,left,0,valid,0.7345113326619624,0.2437698370620411,OK
35,chch04,right,right,1,0.544434873998398,right,1,valid,0.7345113326619624,0.2437698370620411,OK
36,chch04,right,right,1,0.9215561660021194,right,1,valid,0.7345113326619624,0.2437698370620411,OK
37,chch04,none,left,0,0.6238952490020893,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
38,chch04,right,right,1,0.6217615820060018,right,1,valid,0.7345113326619624,0.2437698370620411,OK
39,chch04,right,left,0,0.5107641249996959,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
40,chch04,left,left,0,0.5276316239978769,left,1,valid,0.7345113326619624,0.2437698370620411,OK
41,chch04,none,right,1,0.6600740409994614,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
42,chch04,none,left,0,0.5461125829970115,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
43,chch04,right,right,1,0.49859474900586065,right,1,valid,0.7345113326619624,0.2437698370620411,OK
44,chch04,none,left,0,0.7088285409990931,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
45,chch04,none,left,0,0.5962282500040601,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
46,chch04,none,right,0,0.5656338740009232,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
47,chch04,left,left,0,0.6269130829969072,left,1,valid,0.7345113326619624,0.2437698370620411,OK
48,chch04,none,right,1,0.6460213329992257,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
49,chch04,none,right,1,0.5391729569964809,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
50,chch04,left,left,0,0.4608615410033962,left,1,valid,0.7345113326619624,0.2437698370620411,OK
51,chch04,none,right,1,0.5492824989996734,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
52,chch04,none,right,1,0.6025532069979818,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
53,chch04,none,left,0,0.596061374002602,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
54,chch04,none,right,1,0.640640165998775,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
55,chch04,right,right,1,0.6813234159999411,right,1,valid,0.7345113326619624,0.2437698370620411,OK
56,chch04,none,left,0,0.4241522910015192,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
57,chch04,left,left,0,0.6182183740020264,left,1,valid,0.7345113326619624,0.2437698370620411,OK
58,chch04,none,left,0,0.5890624989988282,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
59,chch04,left,right,1,0.5196682499954477,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
60,chch04,none,left,0,0.7231667079977342,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
61,chch04,right,right,1,0.44300133199431,right,1,valid,0.7345113326619624,0.2437698370620411,OK
62,chch04,none,left,0,0.5967144160022144,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
63,chch04,none,right,1,0.4711895820000791,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
64,chch04,right,right,1,0.5246630830006325,right,1,valid,0.7345113326619624,0.2437698370620411,OK
65,chch04,none,right,1,0.4653591660025995,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
66,chch04,left,right,1,0.5804146660011611,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
67,chch04,right,right,1,0.6465619160007918,right,1,valid,0.7345113326619624,0.2437698370620411,OK
68,chch04,none,right,0,0.8316412080021109,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
69,chch04,right,right,0,0.5019532070000423,left,0,valid,0.7345113326619624,0.2437698370620411,OK
70,chch04,none,right,1,0.5788978739947197,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
71,chch04,none,left,0,0.543402082999819,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
72,chch04,right,right,1,0.5415765829966404,right,1,valid,0.7345113326619624,0.2437698370620411,OK
