cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
right,left,0,0,0,3,,,,,0.01586981990840286,1.0158698199084029,23.980835800000932,None,24.365625699982047,None,25.348628200008534,None,29.349596699990798,None,29.349596699990798,None,f,0.7732243000064045,29.349596699990798,None,30.156185399973765,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,right,0,1,1,5,,,,,0.01450376003049314,1.0145037600304931,31.64214680000441,None,32.44834639999317,None,33.44827829999849,None,37.94924089999404,None,37.94924089999404,None,j,0.7733043000334874,37.94924089999404,None,38.74828309996519,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
right,right,0,2,2,1,,,,,0.014800960081629455,1.0148009600816295,40.2256386000081,None,41.43154959997628,None,42.43149990000529,None,47.43252719996963,None,47.43252719996963,None,f,0.9551457000197843,47.43252719996963,None,48.41557090001879,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,0,3,3,0,,,,,0.014774359995499253,1.0147743599954993,49.89181840000674,None,50.69840950000798,None,51.698052699968684,None,56.69914799998514,None,56.69914799998514,None,j,1.09734410000965,56.69914799998514,None,57.814689599967096,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,right,0,4,4,2,,,,,0.014774560055229813,1.0147745600552298,59.29151760000968,None,59.6481097000069,None,60.64793410000857,None,64.64927799999714,None,64.64927799999714,None,f,0.9901121000293642,64.64927799999714,None,65.66502229997423,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,0,5,5,4,,,,,0.014793060021474957,1.014793060021475,67.14178509998601,None,67.94805259996792,None,68.94797109998763,None,72.34901840001112,None,72.34901840001112,None,f,1.055313599994406,72.34901840001112,None,73.43127329996787,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.93146639998304,None,space,2.2981090000248514,73.93146639998304,None,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,,,,,0,0,0,2,0.007094719971064478,1.0070947199710645,77.25142759998562,None,78.46787380002206,None,79.46484369999962,None,83.46566689998144,None,83.46566689998144,None,j,0.43484539998462424,83.46566689998144,None,83.93508680001833,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,1,1,57,0.012095259968191385,1.0120952599681914,85.42840470001101,None,85.53307990002213,None,86.5315333000035,None,89.93245879997266,None,89.93245879997266,None,f,0.5861625999677926,89.93245879997266,None,90.55660239997087,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
right,right,,,,,0,2,2,21,0.012737960030790418,1.0127379600307904,92.0449731000117,None,92.40019409998786,None,93.39801589999115,None,96.80196730000898,None,96.80196730000898,None,f,1.003698600048665,96.80196730000898,None,97.84710889996495,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,3,3,52,0.010049659991636872,1.0100496599916369,99.33586390002165,None,100.54798049997771,None,101.54814359999727,None,106.05169659998501,None,106.05169659998501,None,j,0.8173788000131026,106.05169659998501,None,106.90830999996979,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
right,right,,,,,0,4,4,20,0.012254460016265512,1.0122544600162655,108.39454180002213,None,108.74785280000651,None,109.7478311000159,None,113.14946849999251,None,113.14946849999251,None,j,0.8813735999865457,113.14946849999251,None,114.05742049997207,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
right,left,,,,,0,5,5,36,0.012730859918519855,1.0127308599185199,115.54308169998694,None,115.65046639996581,None,116.64795319997938,None,120.04872059996706,None,120.04872059996706,None,f,1.068084899976384,120.04872059996706,None,121.13496980001219,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,right,,,,,0,6,6,34,0.012946360046043992,1.012946360046044,122.62626029999228,None,122.98245339997811,None,123.98140509997029,None,127.983302299981,None,127.983302299981,None,j,0.9213502999627963,127.983302299981,None,128.9426153000095,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,,,,,0,7,7,4,0.012156960030552,1.012156960030552,130.42723669996485,None,130.5308745999937,None,131.53106439998373,None,135.53193300002022,None,135.53193300002022,None,j,0.8005657999892719,135.53193300002022,None,136.36069800000405,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,8,8,44,0.012760860030539334,1.0127608600305393,137.8429388999939,None,138.6478036000044,None,139.64794469997287,None,143.04970590001903,None,143.04970590001903,None,f,0.3853761000209488,143.04970590001903,None,143.4675468999776,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
left,left,,,,,0,9,9,6,0.013529059942811728,1.0135290599428117,144.95951750001404,None,145.0644513000152,None,146.0641656999942,None,150.56528380000964,None,150.56528380000964,None,j,0.5904596000327729,150.56528380000964,None,151.1961962999776,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,left,,,,,0,10,10,40,0.012857360066846013,1.012857360066846,152.676879799983,None,153.8841407999862,None,154.88129410002148,None,159.38560679997317,None,159.38560679997317,None,f,0.3738281999831088,159.38560679997317,None,159.79566800000612,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
none,right,,,,,0,11,11,74,0.012464859988540411,1.0124648599885404,161.27710190002108,None,161.38230940001085,None,162.3807582000154,None,166.893909299979,None,166.893909299979,None,j,0.4182236999622546,166.893909299979,None,167.3362109999871,None,,,,,,,VPN01,2022_Mar_01_2142,rdk-discrimination,2021.2.3,59.986311110354,
